CODGEO,LIBGEO,Code département,annee,type,taux_brut_de_mortalit___pour_mille_
22214,Plouézec,22,2017,Taux brut de mortalité (pour mille),12.4
22215,Ploufragan,22,2017,Taux brut de mortalité (pour mille),12.4
22216,Plougonver,22,2017,Taux brut de mortalité (pour mille),12.4
22217,Plougras,22,2017,Taux brut de mortalité (pour mille),12.4
22218,Plougrescant,22,2017,Taux brut de mortalité (pour mille),12.4
22219,Plouguenast-Langast,22,2017,Taux brut de mortalité (pour mille),12.4
22220,Plouguernével,22,2017,Taux brut de mortalité (pour mille),12.4
22221,Plouguiel,22,2017,Taux brut de mortalité (pour mille),12.4
22222,Plouha,22,2017,Taux brut de mortalité (pour mille),12.4
22223,Plouisy,22,2017,Taux brut de mortalité (pour mille),12.4
22224,Ploulec'h,22,2017,Taux brut de mortalité (pour mille),12.4
22225,Ploumagoar,22,2017,Taux brut de mortalité (pour mille),12.4
22226,Ploumilliau,22,2017,Taux brut de mortalité (pour mille),12.4
22227,Plounérin,22,2017,Taux brut de mortalité (pour mille),12.4
22228,Plounévez-Moëdec,22,2017,Taux brut de mortalité (pour mille),12.4
22229,Plounévez-Quintin,22,2017,Taux brut de mortalité (pour mille),12.4
22231,Plourac'h,22,2017,Taux brut de mortalité (pour mille),12.4
22232,Plourhan,22,2017,Taux brut de mortalité (pour mille),12.4
22233,Plourivo,22,2017,Taux brut de mortalité (pour mille),12.4
22234,Plouvara,22,2017,Taux brut de mortalité (pour mille),12.4
22235,Plouzélambre,22,2017,Taux brut de mortalité (pour mille),12.4
22236,Pludual,22,2017,Taux brut de mortalité (pour mille),12.4
22237,Pluduno,22,2017,Taux brut de mortalité (pour mille),12.4
22238,Plufur,22,2017,Taux brut de mortalité (pour mille),12.4
22239,Plumaudan,22,2017,Taux brut de mortalité (pour mille),12.4
22240,Plumaugat,22,2017,Taux brut de mortalité (pour mille),12.4
22241,Plumieux,22,2017,Taux brut de mortalité (pour mille),12.4
22242,Plurien,22,2017,Taux brut de mortalité (pour mille),12.4
22243,Plusquellec,22,2017,Taux brut de mortalité (pour mille),12.4
22244,Plussulien,22,2017,Taux brut de mortalité (pour mille),12.4
22245,Pluzunet,22,2017,Taux brut de mortalité (pour mille),12.4
22246,Pommeret,22,2017,Taux brut de mortalité (pour mille),12.4
22248,Pommerit-le-Vicomte,22,2017,Taux brut de mortalité (pour mille),12.4
22249,Pont-Melvez,22,2017,Taux brut de mortalité (pour mille),12.4
22250,Pontrieux,22,2017,Taux brut de mortalité (pour mille),12.4
22251,Pordic,22,2017,Taux brut de mortalité (pour mille),12.4
22254,Prat,22,2017,Taux brut de mortalité (pour mille),12.4
22255,La Prénessaye,22,2017,Taux brut de mortalité (pour mille),12.4
22256,Quemper-Guézennec,22,2017,Taux brut de mortalité (pour mille),12.4
22257,Quemperven,22,2017,Taux brut de mortalité (pour mille),12.4
22258,Quessoy,22,2017,Taux brut de mortalité (pour mille),12.4
22259,Quévert,22,2017,Taux brut de mortalité (pour mille),12.4
22260,Le Quillio,22,2017,Taux brut de mortalité (pour mille),12.4
22261,Quintenic,22,2017,Taux brut de mortalité (pour mille),12.4
22262,Quintin,22,2017,Taux brut de mortalité (pour mille),12.4
22263,Le Quiou,22,2017,Taux brut de mortalité (pour mille),12.4
22264,La Roche-Jaudy,22,2017,Taux brut de mortalité (pour mille),12.4
22265,Rospez,22,2017,Taux brut de mortalité (pour mille),12.4
22266,Rostrenen,22,2017,Taux brut de mortalité (pour mille),12.4
22267,Rouillac,22,2017,Taux brut de mortalité (pour mille),12.4
22268,Ruca,22,2017,Taux brut de mortalité (pour mille),12.4
22269,Runan,22,2017,Taux brut de mortalité (pour mille),12.4
22271,Saint-Adrien,22,2017,Taux brut de mortalité (pour mille),12.4
22272,Saint-Agathon,22,2017,Taux brut de mortalité (pour mille),12.4
22273,Saint-Alban,22,2017,Taux brut de mortalité (pour mille),12.4
22274,Saint-André-des-Eaux,22,2017,Taux brut de mortalité (pour mille),12.4
22275,Saint-Barnabé,22,2017,Taux brut de mortalité (pour mille),12.4
22276,Saint-Bihy,22,2017,Taux brut de mortalité (pour mille),12.4
22277,Saint-Brandan,22,2017,Taux brut de mortalité (pour mille),12.4
22278,Saint-Brieuc,22,2017,Taux brut de mortalité (pour mille),12.4
22279,Saint-Caradec,22,2017,Taux brut de mortalité (pour mille),12.4
22280,Saint-Carné,22,2017,Taux brut de mortalité (pour mille),12.4
22281,Saint-Carreuc,22,2017,Taux brut de mortalité (pour mille),12.4
22282,Saint-Cast-le-Guildo,22,2017,Taux brut de mortalité (pour mille),12.4
22283,Saint-Clet,22,2017,Taux brut de mortalité (pour mille),12.4
22284,Saint-Connan,22,2017,Taux brut de mortalité (pour mille),12.4
22285,Saint-Connec,22,2017,Taux brut de mortalité (pour mille),12.4
22286,Saint-Denoual,22,2017,Taux brut de mortalité (pour mille),12.4
22287,Saint-Donan,22,2017,Taux brut de mortalité (pour mille),12.4
22288,Saint-Étienne-du-Gué-de-l'Isle,22,2017,Taux brut de mortalité (pour mille),12.4
22289,Saint-Fiacre,22,2017,Taux brut de mortalité (pour mille),12.4
22291,Saint-Gildas,22,2017,Taux brut de mortalité (pour mille),12.4
22293,Saint-Gilles-les-Bois,22,2017,Taux brut de mortalité (pour mille),12.4
22294,Saint-Gilles-Pligeaux,22,2017,Taux brut de mortalité (pour mille),12.4
