CODGEO,LIBGEO,Code département,annee,type,code_com,geo_point,typemetric,nom_com,code_dep,valeur
22093,Lamballe-Armor,22,2017,chomage,22093,"48.48507006191167, -2.529991643442078",Taux de chômage trimestriel (en %),Lamballe-Armor,22,8.33
22094,Lancieux,22,2017,chomage,22094,"48.6008414291423, -2.1483024381537885",Taux de chômage trimestriel (en %),Lancieux,22,8.33
22095,Landebaëron,22,2017,chomage,22095,"48.637650509074476, -3.2048713656243346",Taux de chômage trimestriel (en %),Landebaëron,22,8.33
22096,Landébia,22,2017,chomage,22096,"48.515180464964274, -2.337312105064261",Taux de chômage trimestriel (en %),Landébia,22,8.33
22097,La Landec,22,2017,chomage,22097,"48.425666428990944, -2.1831046599580097",Taux de chômage trimestriel (en %),La Landec,22,8.33
22098,Landéhen,22,2017,chomage,22098,"48.42207408910222, -2.541774101454152",Taux de chômage trimestriel (en %),Landéhen,22,8.33
22099,Lanfains,22,2017,chomage,22099,"48.365375784779125, -2.911495669833046",Taux de chômage trimestriel (en %),Lanfains,22,8.33
22101,Langoat,22,2017,chomage,22101,"48.73497449558828, -3.2979764397394744",Taux de chômage trimestriel (en %),Langoat,22,8.33
22103,Langrolay-sur-Rance,22,2017,chomage,22103,"48.55308299986967, -2.0144312068571977",Taux de chômage trimestriel (en %),Langrolay-sur-Rance,22,8.33
22104,Languédias,22,2017,chomage,22104,"48.39303484828071, -2.205712406659745",Taux de chômage trimestriel (en %),Languédias,22,8.33
22105,Languenan,22,2017,chomage,22105,"48.511472098182495, -2.1332072736296857",Taux de chômage trimestriel (en %),Languenan,22,8.33
22106,Langueux,22,2017,chomage,22106,"48.500031081029526, -2.7097215856661303",Taux de chômage trimestriel (en %),Langueux,22,8.33
22107,Bon Repos sur Blavet,22,2017,chomage,22107,"48.223996028900316, -3.123601388977203",Taux de chômage trimestriel (en %),Bon Repos sur Blavet,22,8.33
22108,Lanleff,22,2017,chomage,22108,"48.69305673767193, -3.04636642694735",Taux de chômage trimestriel (en %),Lanleff,22,8.33
22109,Lanloup,22,2017,chomage,22109,"48.70966609506934, -2.968620705247752",Taux de chômage trimestriel (en %),Lanloup,22,8.33
22110,Lanmérin,22,2017,chomage,22110,"48.7398955196288, -3.3575391923189737",Taux de chômage trimestriel (en %),Lanmérin,22,8.33
22111,Lanmodez,22,2017,chomage,22111,"48.8454616685329, -3.09657660537169",Taux de chômage trimestriel (en %),Lanmodez,22,8.33
22112,Lannebert,22,2017,chomage,22112,"48.65055054470595, -3.0090952031802667",Taux de chômage trimestriel (en %),Lannebert,22,8.33
22113,Lannion,22,2017,chomage,22113,"48.74372057592956, -3.4613016821377243",Taux de chômage trimestriel (en %),Lannion,22,8.33
22114,Lanrelas,22,2017,chomage,22114,"48.24615812698913, -2.295194979345555",Taux de chômage trimestriel (en %),Lanrelas,22,8.33
22115,Lanrivain,22,2017,chomage,22115,"48.359078803487385, -3.215236306567682",Taux de chômage trimestriel (en %),Lanrivain,22,8.33
22116,Lanrodec,22,2017,chomage,22116,"48.49956508747752, -3.0433156865257875",Taux de chômage trimestriel (en %),Lanrodec,22,8.33
22117,Lantic,22,2017,chomage,22117,"48.604206339182014, -2.8988006689345998",Taux de chômage trimestriel (en %),Lantic,22,8.33
22118,Lanvallay,22,2017,chomage,22118,"48.451577637530804, -2.0114884585409434",Taux de chômage trimestriel (en %),Lanvallay,22,8.33
22119,Lanvellec,22,2017,chomage,22119,"48.60676786917297, -3.527901691489259",Taux de chômage trimestriel (en %),Lanvellec,22,8.33
22121,Lanvollon,22,2017,chomage,22121,"48.63350892357017, -2.9901564356599057",Taux de chômage trimestriel (en %),Lanvollon,22,8.33
22122,Laurenan,22,2017,chomage,22122,"48.215038335689826, -2.5190952972110403",Taux de chômage trimestriel (en %),Laurenan,22,8.33
22124,Lescouët-Gouarec,22,2017,chomage,22124,"48.169286969951244, -3.206382639399914",Taux de chômage trimestriel (en %),Lescouët-Gouarec,22,8.33
22126,Le Leslay,22,2017,chomage,22126,"48.423990652869634, -2.965116944345763",Taux de chômage trimestriel (en %),Le Leslay,22,8.33
22127,Lézardrieux,22,2017,chomage,22127,"48.80343680465705, -3.109062725836568",Taux de chômage trimestriel (en %),Lézardrieux,22,8.33
22128,Locarn,22,2017,chomage,22128,"48.332427425246884, -3.409970759309314",Taux de chômage trimestriel (en %),Locarn,22,8.33
22129,Loc-Envel,22,2017,chomage,22129,"48.509790586279045, -3.4097689488209104",Taux de chômage trimestriel (en %),Loc-Envel,22,8.33
22131,Loguivy-Plougras,22,2017,chomage,22131,"48.510492935904004, -3.4917280120826337",Taux de chômage trimestriel (en %),Loguivy-Plougras,22,8.33
22132,Lohuec,22,2017,chomage,22132,"48.46218951875436, -3.5269405948992083",Taux de chômage trimestriel (en %),Lohuec,22,8.33
22133,Loscouët-sur-Meu,22,2017,chomage,22133,"48.175775994107525, -2.2510777423542248",Taux de chômage trimestriel (en %),Loscouët-sur-Meu,22,8.33
22134,Louannec,22,2017,chomage,22134,"48.78340809955394, -3.4120568265797586",Taux de chômage trimestriel (en %),Louannec,22,8.33
22135,Louargat,22,2017,chomage,22135,"48.561118148300984, -3.3409028444766324",Taux de chômage trimestriel (en %),Louargat,22,8.33
22136,Loudéac,22,2017,chomage,22136,"48.17440032876323, -2.750532416873835",Taux de chômage trimestriel (en %),Loudéac,22,8.33
22137,Maël-Carhaix,22,2017,chomage,22137,"48.288071874347686, -3.410398312983865",Taux de chômage trimestriel (en %),Maël-Carhaix,22,8.33
22138,Maël-Pestivien,22,2017,chomage,22138,"48.40376732808839, -3.29029377751837",Taux de chômage trimestriel (en %),Maël-Pestivien,22,8.33
22139,Magoar,22,2017,chomage,22139,"48.40121375167732, -3.1770985526858846",Taux de chômage trimestriel (en %),Magoar,22,8.33
