CODGEO;LIBGEO;Loyer prédit en euros par m²;Code département;Code de la commune
29135;Loctudy;9.55064053112299;29;135
29165;Plobannalec-Lesconil;9.55064053112299;29;165
29284;Treffiagat;9.55064053112299;29;284
44081;Legé;8.12777635832151;44;081
44156;Corcoué-sur-Logne;8.46063127050248;44;156
44206;Touvois;8.06657756681481;44;206
22081;Hillion;8.04513797399117;22;081
22044;Coëtmieux;8.12696489359043;22;044
22389;Yffiniac;8.29803991434519;22;389
22106;Langueux;8.6373221419113;22;106
22002;Andel;8.12696489359043;22;002
44052;Donges;9.5726129053469;44;052
44116;Paimbœuf;9.20738924283248;44;116
44013;Besné;9.20738924283248;44;013
44176;Saint-Malo-de-Guersac;9.20738924283248;44;176
44046;Corsept;9.20738924283248;44;046
22147;Merdrignac;7.12862369235038;22;147
56043;Concoret;7.04938429220017;56;043
56225;Saint-Léry;7.04938429220017;56;225
56208;Saint-Brieuc-de-Mauron;7.04938429220017;56;208
22371;Trémorel;7.04938429220017;22;371
22240;Plumaugat;7.04938429220017;22;240
56129;Ménéac;7.04938429220017;56;129
22083;Illifaut;7.04938429220017;22;083
22309;Saint-Launeuc;7.04938429220017;22;309
56145;Néant-sur-Yvel;7.04938429220017;56;145
56025;Brignac;7.04938429220017;56;025
56127;Mauron;7.52893123014759;56;127
35117;Gaël;7.04938429220017;35;117
56056;Évriguet;7.04938429220017;56;056
35167;Martigné-Ferchaud;7.28891902944369;35;167
35325;La Selle-Guerchaise;6.41433585146556;35;325
35102;Drouges;6.41433585146556;35;102
35005;Arbrissel;6.41433585146556;35;005
35103;Eancé;6.41433585146556;35;103
35235;Rannée;6.41433585146556;35;235
56249;Taupont;8.14275756258431;56;249
56165;Ploërmel;8.36250262492831;56;165
56065;Gourhel;8.14275756258431;56;065
56139;Montertelot;8.14275756258431;56;139
35042;Brielles;6.33225509938962;35;042
35119;Gennes-sur-Seiche;6.33225509938962;35;119
35217;Le Pertre;6.33225509938962;35;217
35052;Champeaux;7.96679010250354;35;052
35338;Torcé;7.96679010250354;35;338
35347;Val-d'Izé;7.61352474579544;35;347
35105;Erbrée;7.96679010250354;35;105
35141;Landavran;7.96679010250354;35;141
35109;Étrelles;8.15546442412914;35;109
35087;Cornillé;7.96679010250354;35;087
35161;Louvigné-de-Bais;7.96679010250354;35;161
35229;Pocé-les-Bois;7.96679010250354;35;229
22208;Plouasne;7.69498154717293;22;208
22280;Saint-Carné;7.69498154717293;22;280
22026;Calorguen;7.69498154717293;22;026
35346;Trimer;7.69498154717293;35;346
35318;Saint-Thual;7.69498154717293;35;318
35345;Trévérien;7.69498154717293;35;345
22118;Lanvallay;8.64470090643931;22;118
22274;Saint-André-des-Eaux;7.69498154717293;22;274
22306;Saint-Judoce;7.69498154717293;22;306
22056;Évran;7.69498154717293;22;056
22263;Le Quiou;7.69498154717293;22;263
35225;Plesder;7.69498154717293;35;225
22308;Saint-Juvat;7.69498154717293;22;308
29254;Saint-Martin-des-Champs;8.44717525682743;29;254
29068;Guiclan;7.78368588939712;29;068
29132;Locquénolé;8.23694414816159;29;132
29023;Carantec;8.64113191806533;29;023
29265;Sainte-Sève;8.23694414816159;29;265
29279;Taulé;8.23694414816159;29;279
22016;Île-de-Bréhat;8.54111512959303;22;016
22236;Pludual;8.54111512959303;22;236
22214;Plouézec;8.54111512959303;22;214
22086;Kerfot;8.54111512959303;22;086
22162;Paimpol;9.19681547453004;22;162
22233;Plourivo;8.54111512959303;22;233
22222;Plouha;8.85881473540825;22;222
22210;Ploubazlanec;8.54111512959303;22;210
22109;Lanloup;8.54111512959303;22;109
35077;Chelun;7.64298079088273;35;077
35014;Bais;7.85268476282197;35;014
35165;Marcillé-Robert;7.64298079088273;35;165
35359;Visseiche;7.64298079088273;35;359
35239;Retiers;8.38640961964664;35;239
35199;Moussé;7.64298079088273;35;199
35082;Coësmes;7.64298079088273;35;082
35114;Forges-la-Forêt;7.64298079088273;35;114
35333;Le Theil-de-Bretagne;7.64298079088273;35;333
56020;Bohal;7.7901452522636;56;020
56172;Plumelec;7.76948582482135;56;172
56254;Trédion;7.7901452522636;56;254
56019;Billio;7.7901452522636;56;019
56053;Elven;9.14954984286763;56;053
56219;Saint-Guyomard;7.7901452522636;56;219
22255;La Prénessaye;6.51030285881402;22;255
56072;Gueltas;6.51030285881402;56;072
56198;Rohan;6.51030285881402;56;198
22330;Saint-Thélo;6.51030285881402;22;330
22039;La Chèze;6.51030285881402;22;039
22075;Hémonstoir;6.51030285881402;22;075
22275;Saint-Barnabé;6.51030285881402;22;275
22149;Merléac;6.51030285881402;22;149
22136;Loudéac;7.54468527725326;22;136
22300;Saint-Hervé;6.51030285881402;22;300
22314;Saint-Maudan;6.51030285881402;22;314
22241;Plumieux;6.51030285881402;22;241
22376;Trévé;6.51030285881402;22;376
56092;Kerfourn;6.51030285881402;56;092
44178;Saint-Mars-de-Coutais;9.96710255513411;44;178
44020;Bouguenais;10.5855406838411;44;020
44018;Bouaye;10.4120081455933;44;018
56242;Séglien;6.55143113698649;56;242
22169;Peumerit-Quintin;6.55143113698649;22;169
56099;Langoëlan;6.55143113698649;56;099
56245;Silfiac;6.55143113698649;56;245
56163;Ploërdut;6.55143113698649;56;163
22365;Trémargat;6.55143113698649;22;365
22266;Rostrenen;6.74226484344055;22;266
56073;Guémené-sur-Scorff;6.55143113698649;56;073
22064;Gouarec;6.55143113698649;22;064
22107;Bon Repos sur Blavet;6.55143113698649;22;107
22220;Plouguernével;6.55143113698649;22;220
22087;Kergrist-Moëlou;6.55143113698649;22;087
29159;Peumerit;8.08881821892442;29;159
29065;Gourlizon;8.08881821892442;29;065
29225;Pouldreuzic;8.08881821892442;29;225
29292;Tréguennec;8.08881821892442;29;292
29298;Tréogat;8.08881821892442;29;298
29167;Plogastel-Saint-Germain;8.08881821892442;29;167
29224;Pouldergat;8.08881821892442;29;224
29216;Pluguffan;9.01576520644949;29;216
29158;Penmarch;8.08881821892442;29;158
29072;Guilvinec;8.08881821892442;29;072
29252;Saint-Jean-Trolimon;8.08881821892442;29;252
29171;Plomeur;8.08881821892442;29;171
29087;Le Juch;8.08881821892442;29;087
29214;Plovan;8.08881821892442;29;214
29243;Saint-Coulitz;7.45905464250563;29;243
29176;Plonévez-Porzay;7.45905464250563;29;176
29062;Gouézec;7.45905464250563;29;062
29020;Briec;8.15233105192081;29;020
29142;Lothey;7.45905464250563;29;142
29256;Saint-Nic;7.45905464250563;29;256
29106;Landrévarzec;7.45905464250563;29;106
29166;Ploéven;7.45905464250563;29;166
29025;Cast;7.45905464250563;29;025
29229;Quéménéven;7.45905464250563;29;229
29172;Plomodiern;7.45905464250563;29;172
44098;Missillac;9.08681455408761;44;098
56195;La Roche-Bernard;9.23685055737799;56;195
56058;Férel;9.13899068004427;56;058
44189;Sainte-Reine-de-Bretagne;9.23685055737799;44;189
56147;Nivillac;8.99420151618184;56;147
44074;Indre;11.4218089589418;44;074
44162;Saint-Herblain;12.5749443858747;44;162
44101;La Montagne;10.798407389019;44;101
35355;Vieux-Vy-sur-Couesnon;7.85097673891933;35;355
35094;Dingé;7.85097673891933;35;094
35286;Saint-Léger-des-Prés;7.85097673891933;35;286
35128;Guipel;7.85097673891933;35;128
35007;Aubigné;7.85097673891933;35;007
35326;Sens-de-Bretagne;7.9387385838923;35;326
35110;Feins;7.85097673891933;35;110
35296;Saint-Médard-sur-Ille;7.85097673891933;35;296
35195;Montreuil-sur-Ille;7.85097673891933;35;195
44140;La Regrippière;7.64096206140044;44;140
44022;Boussay;7.64096206140044;44;022
29177;Plouarzel;8.97011477768659;29;177
29040;Le Conquet;8.97011477768659;29;040
29098;Lampaul-Plouarzel;8.97011477768659;29;098
29282;Trébabu;8.97011477768659;29;282
29084;Île-Molène;8.97011477768659;29;084
29155;Ouessant;8.97011477768659;29;155
29190;Plougonvelin;9.82931745676555;29;190
29260;Saint-Renan;9.73379005500031;29;260
29201;Ploumoguer;8.97011477768659;29;201
29119;Lanrivoaré;8.97011477768659;29;119
35309;Saint-Rémy-du-Plain;6.49644495684764;35;309
35292;Saint-Marc-le-Blanc;6.49644495684764;35;292
35019;Bazouges-la-Pérouse;6.49644495684764;35;019
35304;Saint-Ouen-des-Alleux;6.49644495684764;35;304
35339;Trans-la-Forêt;6.49644495684764;35;339
35075;Chauvigné;6.49644495684764;35;075
35282;Rives-du-Couesnon;6.90334549587602;35;282
35242;Rimou;6.49644495684764;35;242
35178;Mézières-sur-Couesnon;6.49644495684764;35;178
35261;Saint-Christophe-de-Valains;6.49644495684764;35;261
35244;Romazy;6.49644495684764;35;244
22316;Saint-Mayeux;6.85549662340702;22;316
22313;Saint-Martin-des-Prés;6.85549662340702;22;313
22073;La Harmoye;6.85549662340702;22;073
22171;Plaintel;7.96709492671587;22;171
22277;Saint-Brandan;6.85549662340702;22;277
22009;Le Bodéo;6.85549662340702;22;009
22262;Quintin;7.67586680527162;22;262
