Code département;Libellé du département;Code de la circonscription;Libellé de la circonscription;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs;% Blancs/Ins;% Blancs/Vot;Nuls;% Nuls/Ins;% Nuls/Vot;Exprimés;% Exp/Ins;% Exp/Vot;Score_Gauche;Score_Droite;Score_Divers
44;Loire-Atlantique;4.0;4ème circonscription;89018.0;40943.0;45.99;48075.0;54.01;471.0;0.53;0.98;211.0;0.24;0.44;47393.0;53.24;98.58;42.52;56.1;1.38
44;Loire-Atlantique;5.0;5ème circonscription;116335.0;51504.0;44.27;64831.0;55.73;793.0;0.68;1.22;317.0;0.27;0.49;63721.0;54.77;98.29;34.1;65.29;0.61
44;Loire-Atlantique;6.0;6ème circonscription;110233.0;51220.0;46.47;59013.0;53.53;1111.0;1.01;1.88;495.0;0.45;0.84;57407.0;52.08;97.28;22.07;77.39;0.54
44;Loire-Atlantique;7.0;7ème circonscription;108229.0;49719.0;45.94;58510.0;54.06;867.0;0.8;1.48;297.0;0.27;0.51;57346.0;52.99;98.01;22.74;76.49;0.77
44;Loire-Atlantique;8.0;8ème circonscription;85601.0;42550.0;49.71;43051.0;50.29;501.0;0.59;1.16;186.0;0.22;0.43;42364.0;49.49;98.4;38.72;58.78;2.5
44;Loire-Atlantique;9.0;9ème circonscription;117881.0;53941.0;45.76;63940.0;54.24;886.0;0.75;1.39;462.0;0.39;0.72;62592.0;53.1;97.89;34.4;65.16;0.44
44;Loire-Atlantique;10.0;10ème circonscription;114729.0;51187.0;44.62;63542.0;55.38;917.0;0.8;1.44;416.0;0.36;0.65;62209.0;54.22;97.9;23.55;75.95;0.5
56;Morbihan;1.0;1ère circonscription;105394.0;45975.0;43.62;59419.0;56.38;783.0;0.74;1.32;262.0;0.25;0.44;58374.0;55.39;98.24;15.61;82.78;1.61
56;Morbihan;2.0;2ème circonscription;104335.0;47475.0;45.5;56860.0;54.5;1178.0;1.13;2.07;577.0;0.55;1.01;55105.0;52.82;96.91;26.92;43.64;29.44
56;Morbihan;3.0;3ème circonscription;90779.0;41163.0;45.34;49616.0;54.66;859.0;0.95;1.73;410.0;0.45;0.83;48347.0;53.26;97.44;19.91;79.59;0.5
56;Morbihan;4.0;4ème circonscription;105109.0;48060.0;45.72;57049.0;54.28;898.0;0.85;1.57;293.0;0.28;0.51;55858.0;53.14;97.91;17.4;81.91;0.69
56;Morbihan;5.0;5ème circonscription;80708.0;39016.0;48.34;41692.0;51.66;823.0;1.02;1.97;195.0;0.24;0.47;40674.0;50.4;97.56;24.7;73.41;1.89
56;Morbihan;6.0;6ème circonscription;90703.0;40215.0;44.34;50488.0;55.66;821.0;0.91;1.63;382.0;0.42;0.76;49285.0;54.34;97.62;21.82;77.76;0.42
