CODGEO;LIBGEO;Code département;annee;type;code_com;geo_point;typemetric;nom_com;code_dep;valeur
22181;Plélauff;22;2024;taux mortalite;22181;48.19831050359028, -3.2038041544780835;Taux brut de mortalité (pour mille);Plélauff;22;13.3
22182;Plélo;22;2024;taux mortalite;22182;48.5540365817355, -2.9276114233388237;Taux brut de mortalité (pour mille);Plélo;22;13.3
22183;Plémet;22;2024;taux mortalite;22183;48.17458914462472, -2.5970205727773386;Taux brut de mortalité (pour mille);Plémet;22;13.3
22184;Plémy;22;2024;taux mortalite;22184;48.33814970468506, -2.676600308020385;Taux brut de mortalité (pour mille);Plémy;22;13.3
22185;Plénée-Jugon;22;2024;taux mortalite;22185;48.35568772170431, -2.4152109230019456;Taux brut de mortalité (pour mille);Plénée-Jugon;22;13.3
22186;Pléneuf-Val-André;22;2024;taux mortalite;22186;48.583590024616825, -2.529603874827951;Taux brut de mortalité (pour mille);Pléneuf-Val-André;22;13.3
22187;Plérin;22;2024;taux mortalite;22187;48.54399626161453, -2.769713010180491;Taux brut de mortalité (pour mille);Plérin;22;13.3
22188;Plerneuf;22;2024;taux mortalite;22188;48.50578538306872, -2.8804807769133474;Taux brut de mortalité (pour mille);Plerneuf;22;13.3
22189;Plésidy;22;2024;taux mortalite;22189;48.441565954939556, -3.126098611824184;Taux brut de mortalité (pour mille);Plésidy;22;13.3
22190;Pleslin-Trigavou;22;2024;taux mortalite;22190;48.52754674850393, -2.071280262807143;Taux brut de mortalité (pour mille);Pleslin-Trigavou;22;13.3
22193;Plestan;22;2024;taux mortalite;22193;48.41468043166207, -2.4413164240059184;Taux brut de mortalité (pour mille);Plestan;22;13.3
22194;Plestin-les-Grèves;22;2024;taux mortalite;22194;48.64771211551533, -3.6201791709357827;Taux brut de mortalité (pour mille);Plestin-les-Grèves;22;13.3
22195;Pleubian;22;2024;taux mortalite;22195;48.842911190343344, -3.134493849898723;Taux brut de mortalité (pour mille);Pleubian;22;13.3
22196;Pleudaniel;22;2024;taux mortalite;22196;48.76196277150734, -3.154469609002931;Taux brut de mortalité (pour mille);Pleudaniel;22;13.3
22197;Pleudihen-sur-Rance;22;2024;taux mortalite;22197;48.50951544309431, -1.9412624801936378;Taux brut de mortalité (pour mille);Pleudihen-sur-Rance;22;13.3
22198;Pleumeur-Bodou;22;2024;taux mortalite;22198;48.78542781504321, -3.518777493190809;Taux brut de mortalité (pour mille);Pleumeur-Bodou;22;13.3
22199;Pleumeur-Gautier;22;2024;taux mortalite;22199;48.800469646874966, -3.151540920684789;Taux brut de mortalité (pour mille);Pleumeur-Gautier;22;13.3
22200;Pléven;22;2024;taux mortalite;22200;48.49128434115146, -2.3211902889547233;Taux brut de mortalité (pour mille);Pléven;22;13.3
22201;Plévenon;22;2024;taux mortalite;22201;48.65647836354202, -2.31997098103021;Taux brut de mortalité (pour mille);Plévenon;22;13.3
22202;Plévin;22;2024;taux mortalite;22202;48.2236933611001, -3.516379511444769;Taux brut de mortalité (pour mille);Plévin;22;13.3
22203;Plœuc-L'Hermitage;22;2024;taux mortalite;22203;48.34074131893954, -2.7952897427258603;Taux brut de mortalité (pour mille);Plœuc-L'Hermitage;22;13.3
22204;Ploëzal;22;2024;taux mortalite;22204;48.71683177824035, -3.1808589207836055;Taux brut de mortalité (pour mille);Ploëzal;22;13.3
22205;Plorec-sur-Arguenon;22;2024;taux mortalite;22205;48.46360846668484, -2.3010423354649867;Taux brut de mortalité (pour mille);Plorec-sur-Arguenon;22;13.3
22206;Châtelaudren-Plouagat;22;2024;taux mortalite;22206;48.53038727713945, -2.989574473485287;Taux brut de mortalité (pour mille);Châtelaudren-Plouagat;22;13.3
22207;Plouaret;22;2024;taux mortalite;22207;48.61949008013532, -3.483272137839892;Taux brut de mortalité (pour mille);Plouaret;22;13.3
22208;Plouasne;22;2024;taux mortalite;22208;48.31178706593236, -2.007880383435003;Taux brut de mortalité (pour mille);Plouasne;22;13.3
22209;Beaussais-sur-Mer;22;2024;taux mortalite;22209;48.56046648898241, -2.1365246980572077;Taux brut de mortalité (pour mille);Beaussais-sur-Mer;22;13.3
22210;Ploubazlanec;22;2024;taux mortalite;22210;48.80531646998795, -3.044734163599906;Taux brut de mortalité (pour mille);Ploubazlanec;22;13.3
22211;Ploubezre;22;2024;taux mortalite;22211;48.685540104635514, -3.4484114804534305;Taux brut de mortalité (pour mille);Ploubezre;22;13.3
22212;Plouëc-du-Trieux;22;2024;taux mortalite;22212;48.67218252212366, -3.1875937861160675;Taux brut de mortalité (pour mille);Plouëc-du-Trieux;22;13.3
22213;Plouër-sur-Rance;22;2024;taux mortalite;22213;48.525076993155004, -2.0064772868034786;Taux brut de mortalité (pour mille);Plouër-sur-Rance;22;13.3
22214;Plouézec;22;2024;taux mortalite;22214;48.73857830623221, -2.9792489742525143;Taux brut de mortalité (pour mille);Plouézec;22;13.3
22215;Ploufragan;22;2024;taux mortalite;22215;48.487289095102696, -2.8081004181194076;Taux brut de mortalité (pour mille);Ploufragan;22;13.3
22216;Plougonver;22;2024;taux mortalite;22216;48.4850234183266, -3.3748184940250456;Taux brut de mortalité (pour mille);Plougonver;22;13.3
22217;Plougras;22;2024;taux mortalite;22217;48.496580804818194, -3.5645663818142;Taux brut de mortalité (pour mille);Plougras;22;13.3
