CODGEO;LIBGEO;Code département;annee;type;code_de_la_commune;code_com;geo_point;energie_type;filiere;puissances_kw;production_mwh;nom_com;code_dep
22018;Brélidy;22;2022;production energetique;018;22018;48.64929062701858, -3.227795253843802;Chaleur;Solaire thermique;10.0;6.0;Brélidy;22
22018;Brélidy;22;2022;production energetique;018;22018;48.64929062701858, -3.227795253843802;Chaleur;PAC (aérothermie et géothermie);415.0;297.0;Brélidy;22
22018;Brélidy;22;2022;production energetique;018;22018;48.64929062701858, -3.227795253843802;Electricité;Hydroélectricité;0.0;0.0;Brélidy;22
22018;Brélidy;22;2022;production energetique;018;22018;48.64929062701858, -3.227795253843802;Chaleur;Bois énergie domestique;892.0;692.0;Brélidy;22
22019;Bringolo;22;2022;production energetique;019;22019;48.57715815476378, -3.0063341580506617;Chaleur;Solaire thermique;10.0;6.0;Bringolo;22
22019;Bringolo;22;2022;production energetique;019;22019;48.57715815476378, -3.0063341580506617;Electricité;Solaire PV;106.0;43.0;Bringolo;22
22019;Bringolo;22;2022;production energetique;019;22019;48.57715815476378, -3.0063341580506617;Chaleur;PAC (aérothermie et géothermie);428.0;306.0;Bringolo;22
22019;Bringolo;22;2022;production energetique;019;22019;48.57715815476378, -3.0063341580506617;Chaleur;Méthanisation;120.0;841.0;Bringolo;22
22019;Bringolo;22;2022;production energetique;019;22019;48.57715815476378, -3.0063341580506617;Electricité;Hydroélectricité;0.0;0.0;Bringolo;22
22019;Bringolo;22;2022;production energetique;019;22019;48.57715815476378, -3.0063341580506617;Chaleur;Bois énergie domestique;1082.0;839.0;Bringolo;22
22019;Bringolo;22;2022;production energetique;019;22019;48.57715815476378, -3.0063341580506617;Chaleur;Bois énergie chaufferies;100.0;145.0;Bringolo;22
22020;Broons;22;2022;production energetique;020;22020;48.31131192288653, -2.2409231184102447;Chaleur;Solaire thermique;50.0;38.0;Broons;22
22020;Broons;22;2022;production energetique;020;22020;48.31131192288653, -2.2409231184102447;Electricité;Solaire PV;244.0;37.0;Broons;22
22020;Broons;22;2022;production energetique;020;22020;48.31131192288653, -2.2409231184102447;Chaleur;PAC (aérothermie et géothermie);2708.0;1939.0;Broons;22
22020;Broons;22;2022;production energetique;020;22020;48.31131192288653, -2.2409231184102447;Electricité;Méthanisation;33.0;170.0;Broons;22
22020;Broons;22;2022;production energetique;020;22020;48.31131192288653, -2.2409231184102447;Chaleur;Méthanisation;33.0;170.0;Broons;22
22020;Broons;22;2022;production energetique;020;22020;48.31131192288653, -2.2409231184102447;Electricité;Hydroélectricité;0.0;0.0;Broons;22
22020;Broons;22;2022;production energetique;020;22020;48.31131192288653, -2.2409231184102447;Electricité;Éolien terrestre;11750.0;19633.0;Broons;22
22020;Broons;22;2022;production energetique;020;22020;48.31131192288653, -2.2409231184102447;Chaleur;Bois énergie domestique;6327.0;4904.0;Broons;22
22021;Brusvily;22;2022;production energetique;021;22021;48.39398952757658, -2.117702528013565;Chaleur;Solaire thermique;20.0;17.0;Brusvily;22
22021;Brusvily;22;2022;production energetique;021;22021;48.39398952757658, -2.117702528013565;Chaleur;PAC (aérothermie et géothermie);1184.0;848.0;Brusvily;22
22021;Brusvily;22;2022;production energetique;021;22021;48.39398952757658, -2.117702528013565;Electricité;Hydroélectricité;0.0;0.0;Brusvily;22
22021;Brusvily;22;2022;production energetique;021;22021;48.39398952757658, -2.117702528013565;Chaleur;Bois énergie domestique;2931.0;2272.0;Brusvily;22
22023;Bulat-Pestivien;22;2022;production energetique;023;22023;48.43429350906591, -3.332708898349024;Chaleur;Solaire thermique;10.0;10.0;Bulat-Pestivien;22
22023;Bulat-Pestivien;22;2022;production energetique;023;22023;48.43429350906591, -3.332708898349024;Chaleur;PAC (aérothermie et géothermie);685.0;490.0;Bulat-Pestivien;22
22023;Bulat-Pestivien;22;2022;production energetique;023;22023;48.43429350906591, -3.332708898349024;Electricité;Hydroélectricité;0.0;0.0;Bulat-Pestivien;22
22023;Bulat-Pestivien;22;2022;production energetique;023;22023;48.43429350906591, -3.332708898349024;Chaleur;Bois énergie domestique;1229.0;953.0;Bulat-Pestivien;22
22024;Calanhel;22;2022;production energetique;024;22024;48.44062078647692, -3.4755663949139017;Chaleur;Solaire thermique;10.0;5.0;Calanhel;22
22024;Calanhel;22;2022;production energetique;024;22024;48.44062078647692, -3.4755663949139017;Chaleur;PAC (aérothermie et géothermie);375.0;269.0;Calanhel;22
22024;Calanhel;22;2022;production energetique;024;22024;48.44062078647692, -3.4755663949139017;Electricité;Hydroélectricité;0.0;0.0;Calanhel;22
22024;Calanhel;22;2022;production energetique;024;22024;48.44062078647692, -3.4755663949139017;Electricité;Éolien terrestre;5100.0;8023.0;Calanhel;22
22024;Calanhel;22;2022;production energetique;024;22024;48.44062078647692, -3.4755663949139017;Chaleur;Bois énergie domestique;694.0;538.0;Calanhel;22
22025;Callac;22;2022;production energetique;025;22025;48.42196827664741, -3.416491285381751;Chaleur;Solaire thermique;60.0;40.0;Callac;22
22025;Callac;22;2022;production energetique;025;22025;48.42196827664741, -3.416491285381751;Electricité;Solaire PV;180.0;87.0;Callac;22
22025;Callac;22;2022;production energetique;025;22025;48.42196827664741, -3.416491285381751;Chaleur;PAC (aérothermie et géothermie);2889.0;2068.0;Callac;22
22025;Callac;22;2022;production energetique;025;22025;48.42196827664741, -3.416491285381751;Electricité;Hydroélectricité;0.0;0.0;Callac;22
22025;Callac;22;2022;production energetique;025;22025;48.42196827664741, -3.416491285381751;Electricité;Éolien terrestre;3200.0;6239.0;Callac;22
22025;Callac;22;2022;production energetique;025;22025;48.42196827664741, -3.416491285381751;Chaleur;Bois énergie domestique;6009.0;4658.0;Callac;22
22025;Callac;22;2022;production energetique;025;22025;48.42196827664741, -3.416491285381751;Chaleur;Bois énergie chaufferies;1655.0;3506.0;Callac;22
22026;Calorguen;22;2022;production energetique;026;22026;48.40509142929895, -2.025985496611696;Chaleur;Solaire thermique;10.0;10.0;Calorguen;22
22026;Calorguen;22;2022;production energetique;026;22026;48.40509142929895, -2.025985496611696;Electricité;Solaire PV;70.0;67.0;Calorguen;22
22026;Calorguen;22;2022;production energetique;026;22026;48.40509142929895, -2.025985496611696;Chaleur;PAC (aérothermie et géothermie);727.0;520.0;Calorguen;22
22026;Calorguen;22;2022;production energetique;026;22026;48.40509142929895, -2.025985496611696;Electricité;Hydroélectricité;0.0;0.0;Calorguen;22
22026;Calorguen;22;2022;production energetique;026;22026;48.40509142929895, -2.025985496611696;Chaleur;Bois énergie domestique;1779.0;1379.0;Calorguen;22
22027;Le Cambout;22;2022;production energetique;027;22027;48.059113527873514, -2.620841543398244;Chaleur;Solaire thermique;10.0;9.0;Le Cambout;22
22027;Le Cambout;22;2022;production energetique;027;22027;48.059113527873514, -2.620841543398244;Chaleur;PAC (aérothermie et géothermie);607.0;435.0;Le Cambout;22
22027;Le Cambout;22;2022;production energetique;027;22027;48.059113527873514, -2.620841543398244;Electricité;Hydroélectricité;0.0;0.0;Le Cambout;22
22027;Le Cambout;22;2022;production energetique;027;22027;48.059113527873514, -2.620841543398244;Chaleur;Bois énergie domestique;1164.0;902.0;Le Cambout;22
22028;Camlez;22;2022;production energetique;028;22028;48.7832070650471, -3.3154023929294625;Chaleur;Solaire thermique;20.0;13.0;Camlez;22
22028;Camlez;22;2022;production energetique;028;22028;48.7832070650471, -3.3154023929294625;Electricité;Solaire PV;68.0;70.0;Camlez;22
22028;Camlez;22;2022;production energetique;028;22028;48.7832070650471, -3.3154023929294625;Chaleur;PAC (aérothermie et géothermie);937.0;671.0;Camlez;22
22028;Camlez;22;2022;production energetique;028;22028;48.7832070650471, -3.3154023929294625;Electricité;Hydroélectricité;0.0;0.0;Camlez;22
22028;Camlez;22;2022;production energetique;028;22028;48.7832070650471, -3.3154023929294625;Electricité;Fossile;6428.0;34904.0;Camlez;22
22028;Camlez;22;2022;production energetique;028;22028;48.7832070650471, -3.3154023929294625;Chaleur;Fossile;7231.0;39268.0;Camlez;22
22028;Camlez;22;2022;production energetique;028;22028;48.7832070650471, -3.3154023929294625;Chaleur;Bois énergie domestique;1871.0;1450.0;Camlez;22
22029;Canihuel;22;2022;production energetique;029;22029;48.337245775243694, -3.0959063599846113;Chaleur;Solaire thermique;10.0;8.0;Canihuel;22
22029;Canihuel;22;2022;production energetique;029;22029;48.337245775243694, -3.0959063599846113;Chaleur;PAC (aérothermie et géothermie);549.0;393.0;Canihuel;22
22029;Canihuel;22;2022;production energetique;029;22029;48.337245775243694, -3.0959063599846113;Electricité;Hydroélectricité;0.0;0.0;Canihuel;22
22029;Canihuel;22;2022;production energetique;029;22029;48.337245775243694, -3.0959063599846113;Chaleur;Bois énergie domestique;1007.0;781.0;Canihuel;22
22030;Caouënnec-Lanvézéac;22;2022;production energetique;030;22030;48.705892344939876, -3.3675467732029523;Chaleur;Solaire thermique;20.0;12.0;Caouënnec-Lanvézéac;22
22030;Caouënnec-Lanvézéac;22;2022;production energetique;030;22030;48.705892344939876, -3.3675467732029523;Electricité;Solaire PV;239.0;257.0;Caouënnec-Lanvézéac;22
22030;Caouënnec-Lanvézéac;22;2022;production energetique;030;22030;48.705892344939876, -3.3675467732029523;Chaleur;PAC (aérothermie et géothermie);835.0;598.0;Caouënnec-Lanvézéac;22
22030;Caouënnec-Lanvézéac;22;2022;production energetique;030;22030;48.705892344939876, -3.3675467732029523;Electricité;Hydroélectricité;0.0;0.0;Caouënnec-Lanvézéac;22
22030;Caouënnec-Lanvézéac;22;2022;production energetique;030;22030;48.705892344939876, -3.3675467732029523;Chaleur;Bois énergie domestique;1880.0;1457.0;Caouënnec-Lanvézéac;22
22031;Carnoët;22;2022;production energetique;031;22031;48.359241336135476, -3.53211129444564;Chaleur;Solaire thermique;20.0;14.0;Carnoët;22
22031;Carnoët;22;2022;production energetique;031;22031;48.359241336135476, -3.53211129444564;Electricité;Solaire PV;245.0;220.0;Carnoët;22
22031;Carnoët;22;2022;production energetique;031;22031;48.359241336135476, -3.53211129444564;Chaleur;PAC (aérothermie et géothermie);1020.0;730.0;Carnoët;22
22031;Carnoët;22;2022;production energetique;031;22031;48.359241336135476, -3.53211129444564;Electricité;Hydroélectricité;0.0;0.0;Carnoët;22
22031;Carnoët;22;2022;production energetique;031;22031;48.359241336135476, -3.53211129444564;Chaleur;Bois énergie domestique;1905.0;1476.0;Carnoët;22
22032;Caulnes;22;2022;production energetique;032;22032;48.30216325406062, -2.1604139620127762;Chaleur;Solaire thermique;50.0;34.0;Caulnes;22
22032;Caulnes;22;2022;production energetique;032;22032;48.30216325406062, -2.1604139620127762;Electricité;Solaire PV;138.0;132.0;Caulnes;22
22032;Caulnes;22;2022;production energetique;032;22032;48.30216325406062, -2.1604139620127762;Chaleur;PAC (aérothermie et géothermie);2458.0;1759.0;Caulnes;22
22032;Caulnes;22;2022;production energetique;032;22032;48.30216325406062, -2.1604139620127762;Electricité;Hydroélectricité;0.0;0.0;Caulnes;22
22032;Caulnes;22;2022;production energetique;032;22032;48.30216325406062, -2.1604139620127762;Chaleur;Bois énergie domestique;5961.0;4620.0;Caulnes;22
22033;Caurel;22;2022;production energetique;033;22033;48.21724561201957, -3.039756388323664;Chaleur;Solaire thermique;10.0;11.0;Caurel;22
22033;Caurel;22;2022;production energetique;033;22033;48.21724561201957, -3.039756388323664;Chaleur;PAC (aérothermie et géothermie);763.0;546.0;Caurel;22
22033;Caurel;22;2022;production energetique;033;22033;48.21724561201957, -3.039756388323664;Electricité;Hydroélectricité;0.0;0.0;Caurel;22
22033;Caurel;22;2022;production energetique;033;22033;48.21724561201957, -3.039756388323664;Electricité;Éolien terrestre;2550.0;1012.0;Caurel;22
22033;Caurel;22;2022;production energetique;033;22033;48.21724561201957, -3.039756388323664;Chaleur;Bois énergie domestique;1150.0;891.0;Caurel;22
22034;Cavan;22;2022;production energetique;034;22034;48.68215456074493, -3.3524096713925564;Chaleur;Solaire thermique;30.0;21.0;Cavan;22
22034;Cavan;22;2022;production energetique;034;22034;48.68215456074493, -3.3524096713925564;Electricité;Solaire PV;133.0;129.0;Cavan;22
22034;Cavan;22;2022;production energetique;034;22034;48.68215456074493, -3.3524096713925564;Chaleur;PAC (aérothermie et géothermie);1483.0;1062.0;Cavan;22
22034;Cavan;22;2022;production energetique;034;22034;48.68215456074493, -3.3524096713925564;Electricité;Hydroélectricité;0.0;0.0;Cavan;22
22034;Cavan;22;2022;production energetique;034;22034;48.68215456074493, -3.3524096713925564;Chaleur;Bois énergie domestique;3323.0;2575.0;Cavan;22
22034;Cavan;22;2022;production energetique;034;22034;48.68215456074493, -3.3524096713925564;Chaleur;Bois énergie chaufferies;155.0;162.0;Cavan;22
22035;Les Champs-Géraux;22;2022;production energetique;035;22035;48.42601578193849, -1.9776790432863975;Chaleur;Solaire thermique;20.0;16.0;Les Champs-Géraux;22
22035;Les Champs-Géraux;22;2022;production energetique;035;22035;48.42601578193849, -1.9776790432863975;Electricité;Solaire PV;68.0;66.0;Les Champs-Géraux;22
22035;Les Champs-Géraux;22;2022;production energetique;035;22035;48.42601578193849, -1.9776790432863975;Chaleur;PAC (aérothermie et géothermie);1148.0;822.0;Les Champs-Géraux;22
22035;Les Champs-Géraux;22;2022;production energetique;035;22035;48.42601578193849, -1.9776790432863975;Electricité;Hydroélectricité;0.0;0.0;Les Champs-Géraux;22
22035;Les Champs-Géraux;22;2022;production energetique;035;22035;48.42601578193849, -1.9776790432863975;Chaleur;Bois énergie domestique;2689.0;2084.0;Les Champs-Géraux;22
22035;Les Champs-Géraux;22;2022;production energetique;035;22035;48.42601578193849, -1.9776790432863975;Chaleur;Bois énergie chaufferies;100.0;32.0;Les Champs-Géraux;22
22036;La Chapelle-Blanche;22;2022;production energetique;036;22036;48.26830592024628, -2.1284395259517597;Chaleur;Solaire thermique;0.0;3.0;La Chapelle-Blanche;22
22036;La Chapelle-Blanche;22;2022;production energetique;036;22036;48.26830592024628, -2.1284395259517597;Electricité;Solaire PV;79.0;65.0;La Chapelle-Blanche;22
22036;La Chapelle-Blanche;22;2022;production energetique;036;22036;48.26830592024628, -2.1284395259517597;Chaleur;PAC (aérothermie et géothermie);228.0;163.0;La Chapelle-Blanche;22
22036;La Chapelle-Blanche;22;2022;production energetique;036;22036;48.26830592024628, -2.1284395259517597;Electricité;Méthanisation;160.0;1258.0;La Chapelle-Blanche;22
22036;La Chapelle-Blanche;22;2022;production energetique;036;22036;48.26830592024628, -2.1284395259517597;Chaleur;Méthanisation;155.0;1219.0;La Chapelle-Blanche;22
22036;La Chapelle-Blanche;22;2022;production energetique;036;22036;48.26830592024628, -2.1284395259517597;Electricité;Hydroélectricité;0.0;0.0;La Chapelle-Blanche;22
22036;La Chapelle-Blanche;22;2022;production energetique;036;22036;48.26830592024628, -2.1284395259517597;Chaleur;Bois énergie domestique;436.0;338.0;La Chapelle-Blanche;22
22036;La Chapelle-Blanche;22;2022;production energetique;036;22036;48.26830592024628, -2.1284395259517597;Chaleur;Bois énergie chaufferies;65.0;54.0;La Chapelle-Blanche;22
22037;La Chapelle-Neuve;22;2022;production energetique;037;22037;48.46571474215161, -3.4399666603374586;Chaleur;Solaire thermique;10.0;9.0;La Chapelle-Neuve;22
22037;La Chapelle-Neuve;22;2022;production energetique;037;22037;48.46571474215161, -3.4399666603374586;Chaleur;PAC (aérothermie et géothermie);641.0;459.0;La Chapelle-Neuve;22
