Code département;Libellé département;Code commune;Libellé commune;Inscrits;Votants;% Votants;Abstentions;% Abstentions;Exprimés;% Exprimés/inscrits;% Exprimés/votants;Blancs;% Blancs/inscrits;% Blancs/votants;Nuls;% Nuls/inscrits;% Nuls/votants;Score_Gauche;Score_Droite;Score_Divers
35;Ille-et-Vilaine;35093.0;Dinard;9434.0;6859.0;72,71%;2575.0;27,29%;6750.0;71,55%;98,41%;79.0;0,84%;1,15%;30.0;0,32%;0,44%;20.86;79.14;0.0
35;Ille-et-Vilaine;35094.0;Dingé;1320.0;980.0;74,24%;340.0;25,76%;950.0;71,97%;96,94%;19.0;1,44%;1,94%;11.0;0,83%;1,12%;43.26;56.73;0.01
35;Ille-et-Vilaine;35095.0;Dol-de-Bretagne;4502.0;3038.0;67,48%;1464.0;32,52%;2985.0;66,30%;98,26%;41.0;0,91%;1,35%;12.0;0,27%;0,39%;26.63;73.36;0.01
35;Ille-et-Vilaine;35096.0;Domagné;1774.0;1352.0;76,21%;422.0;23,79%;1298.0;73,17%;96,01%;35.0;1,97%;2,59%;19.0;1,07%;1,41%;29.2;70.8;0.0
35;Ille-et-Vilaine;35097.0;Domalain;1474.0;1008.0;68,39%;466.0;31,61%;971.0;65,88%;96,33%;25.0;1,70%;2,48%;12.0;0,81%;1,19%;20.08;79.92;0.0
35;Ille-et-Vilaine;35098.0;La Dominelais;988.0;719.0;72,77%;269.0;27,23%;696.0;70,45%;96,80%;16.0;1,62%;2,23%;7.0;0,71%;0,97%;20.4;79.6;0.0
35;Ille-et-Vilaine;35099.0;Domloup;2899.0;2179.0;75,16%;720.0;24,84%;2105.0;72,61%;96,60%;57.0;1,97%;2,62%;17.0;0,59%;0,78%;34.49;65.51;0.0
35;Ille-et-Vilaine;35101.0;Dourdain;872.0;633.0;72,59%;239.0;27,41%;598.0;68,58%;94,47%;27.0;3,10%;4,27%;8.0;0,92%;1,26%;30.27;69.73;0.0
35;Ille-et-Vilaine;35102.0;Drouges;387.0;280.0;72,35%;107.0;27,65%;264.0;68,22%;94,29%;10.0;2,58%;3,57%;6.0;1,55%;2,14%;19.69;80.31;0.0
35;Ille-et-Vilaine;35103.0;Eancé;276.0;203.0;73,55%;73.0;26,45%;195.0;70,65%;96,06%;7.0;2,54%;3,45%;1.0;0,36%;0,49%;26.67;73.33;0.0
35;Ille-et-Vilaine;35104.0;Epiniac;1105.0;846.0;76,56%;259.0;23,44%;835.0;75,57%;98,70%;9.0;0,81%;1,06%;2.0;0,18%;0,24%;18.09;81.91;0.0
35;Ille-et-Vilaine;35105.0;Erbrée;1393.0;980.0;70,35%;413.0;29,65%;939.0;67,41%;95,82%;22.0;1,58%;2,24%;19.0;1,36%;1,94%;20.98;79.02;0.0
35;Ille-et-Vilaine;35106.0;Ercé-en-Lamée;1155.0;815.0;70,56%;340.0;29,44%;793.0;68,66%;97,30%;13.0;1,13%;1,60%;9.0;0,78%;1,10%;30.27;69.73;0.0
35;Ille-et-Vilaine;35107.0;Ercé-près-Liffré;1495.0;1171.0;78,33%;324.0;21,67%;1132.0;75,72%;96,67%;33.0;2,21%;2,82%;6.0;0,40%;0,51%;40.99;59.01;0.0
35;Ille-et-Vilaine;35108.0;Essé;856.0;581.0;67,87%;275.0;32,13%;557.0;65,07%;95,87%;16.0;1,87%;2,75%;8.0;0,93%;1,38%;27.83;72.17;0.0
35;Ille-et-Vilaine;35109.0;Etrelles;1900.0;1456.0;76,63%;444.0;23,37%;1410.0;74,21%;96,84%;33.0;1,74%;2,27%;13.0;0,68%;0,89%;21.49;78.51;0.0
