CODGEO,LIBGEO,Code département,annee,type,code_de_la_commune,code_com,geo_point,energie_type,filiere,puissances_kw,production_mwh,nom_com,code_dep
22016,Île-de-Bréhat,22,2017,production energetique,016,22016,"48.84999753399896, -3.0020099584464472",Chaleur,PAC (aérothermie et géothermie),782.0,615.0,Île-de-Bréhat,22
22016,Île-de-Bréhat,22,2017,production energetique,016,22016,"48.84999753399896, -3.0020099584464472",Electricité,Hydroélectricité,0.0,0.0,Île-de-Bréhat,22
22016,Île-de-Bréhat,22,2017,production energetique,016,22016,"48.84999753399896, -3.0020099584464472",Chaleur,Bois énergie domestique,1451.0,1224.0,Île-de-Bréhat,22
22018,Brélidy,22,2017,production energetique,018,22018,"48.64929062701858, -3.227795253843802",Chaleur,Solaire thermique,10.0,5.0,Brélidy,22
22018,Brélidy,22,2017,production energetique,018,22018,"48.64929062701858, -3.227795253843802",Chaleur,PAC (aérothermie et géothermie),198.0,156.0,Brélidy,22
22018,Brélidy,22,2017,production energetique,018,22018,"48.64929062701858, -3.227795253843802",Electricité,Hydroélectricité,0.0,0.0,Brélidy,22
22018,Brélidy,22,2017,production energetique,018,22018,"48.64929062701858, -3.227795253843802",Chaleur,Bois énergie domestique,832.0,702.0,Brélidy,22
22019,Bringolo,22,2017,production energetique,019,22019,"48.57715815476378, -3.0063341580506617",Chaleur,Solaire thermique,10.0,5.0,Bringolo,22
22019,Bringolo,22,2017,production energetique,019,22019,"48.57715815476378, -3.0063341580506617",Electricité,Solaire PV,40.0,45.0,Bringolo,22
22019,Bringolo,22,2017,production energetique,019,22019,"48.57715815476378, -3.0063341580506617",Chaleur,PAC (aérothermie et géothermie),205.0,161.0,Bringolo,22
22019,Bringolo,22,2017,production energetique,019,22019,"48.57715815476378, -3.0063341580506617",Chaleur,Méthanisation,0.0,0.0,Bringolo,22
22019,Bringolo,22,2017,production energetique,019,22019,"48.57715815476378, -3.0063341580506617",Electricité,Hydroélectricité,0.0,0.0,Bringolo,22
22019,Bringolo,22,2017,production energetique,019,22019,"48.57715815476378, -3.0063341580506617",Chaleur,Bois énergie domestique,1009.0,851.0,Bringolo,22
22019,Bringolo,22,2017,production energetique,019,22019,"48.57715815476378, -3.0063341580506617",Chaleur,Bois énergie chaufferies,100.0,149.0,Bringolo,22
22020,Broons,22,2017,production energetique,020,22020,"48.31131192288653, -2.2409231184102447",Chaleur,Solaire thermique,40.0,32.0,Broons,22
22020,Broons,22,2017,production energetique,020,22020,"48.31131192288653, -2.2409231184102447",Electricité,Solaire PV,41.0,39.0,Broons,22
22020,Broons,22,2017,production energetique,020,22020,"48.31131192288653, -2.2409231184102447",Chaleur,PAC (aérothermie et géothermie),1294.0,1018.0,Broons,22
22020,Broons,22,2017,production energetique,020,22020,"48.31131192288653, -2.2409231184102447",Electricité,Méthanisation,0.0,0.0,Broons,22
22020,Broons,22,2017,production energetique,020,22020,"48.31131192288653, -2.2409231184102447",Chaleur,Méthanisation,0.0,0.0,Broons,22
22020,Broons,22,2017,production energetique,020,22020,"48.31131192288653, -2.2409231184102447",Electricité,Hydroélectricité,0.0,0.0,Broons,22
22020,Broons,22,2017,production energetique,020,22020,"48.31131192288653, -2.2409231184102447",Electricité,Éolien terrestre,0.0,0.0,Broons,22
22020,Broons,22,2017,production energetique,020,22020,"48.31131192288653, -2.2409231184102447",Chaleur,Bois énergie domestique,5897.0,4978.0,Broons,22
22021,Brusvily,22,2017,production energetique,021,22021,"48.39398952757658, -2.117702528013565",Chaleur,Solaire thermique,20.0,14.0,Brusvily,22
22021,Brusvily,22,2017,production energetique,021,22021,"48.39398952757658, -2.117702528013565",Chaleur,PAC (aérothermie et géothermie),566.0,445.0,Brusvily,22
22021,Brusvily,22,2017,production energetique,021,22021,"48.39398952757658, -2.117702528013565",Electricité,Hydroélectricité,0.0,0.0,Brusvily,22
22021,Brusvily,22,2017,production energetique,021,22021,"48.39398952757658, -2.117702528013565",Chaleur,Bois énergie domestique,2732.0,2306.0,Brusvily,22
22023,Bulat-Pestivien,22,2017,production energetique,023,22023,"48.43429350906591, -3.332708898349024",Chaleur,Solaire thermique,10.0,8.0,Bulat-Pestivien,22
22023,Bulat-Pestivien,22,2017,production energetique,023,22023,"48.43429350906591, -3.332708898349024",Chaleur,PAC (aérothermie et géothermie),327.0,257.0,Bulat-Pestivien,22
22023,Bulat-Pestivien,22,2017,production energetique,023,22023,"48.43429350906591, -3.332708898349024",Electricité,Hydroélectricité,0.0,0.0,Bulat-Pestivien,22
22023,Bulat-Pestivien,22,2017,production energetique,023,22023,"48.43429350906591, -3.332708898349024",Chaleur,Bois énergie domestique,1146.0,967.0,Bulat-Pestivien,22
22024,Calanhel,22,2017,production energetique,024,22024,"48.44062078647692, -3.4755663949139017",Chaleur,Solaire thermique,10.0,4.0,Calanhel,22
22024,Calanhel,22,2017,production energetique,024,22024,"48.44062078647692, -3.4755663949139017",Chaleur,PAC (aérothermie et géothermie),179.0,141.0,Calanhel,22
22024,Calanhel,22,2017,production energetique,024,22024,"48.44062078647692, -3.4755663949139017",Electricité,Hydroélectricité,0.0,0.0,Calanhel,22
22024,Calanhel,22,2017,production energetique,024,22024,"48.44062078647692, -3.4755663949139017",Electricité,Éolien terrestre,5100.0,7953.0,Calanhel,22
22024,Calanhel,22,2017,production energetique,024,22024,"48.44062078647692, -3.4755663949139017",Chaleur,Bois énergie domestique,647.0,546.0,Calanhel,22
22025,Callac,22,2017,production energetique,025,22025,"48.42196827664741, -3.416491285381751",Chaleur,Solaire thermique,50.0,34.0,Callac,22
22025,Callac,22,2017,production energetique,025,22025,"48.42196827664741, -3.416491285381751",Electricité,Solaire PV,95.0,79.0,Callac,22
22025,Callac,22,2017,production energetique,025,22025,"48.42196827664741, -3.416491285381751",Chaleur,PAC (aérothermie et géothermie),1381.0,1086.0,Callac,22
22025,Callac,22,2017,production energetique,025,22025,"48.42196827664741, -3.416491285381751",Electricité,Hydroélectricité,0.0,0.0,Callac,22
22025,Callac,22,2017,production energetique,025,22025,"48.42196827664741, -3.416491285381751",Electricité,Éolien terrestre,0.0,0.0,Callac,22
22025,Callac,22,2017,production energetique,025,22025,"48.42196827664741, -3.416491285381751",Chaleur,Bois énergie domestique,5601.0,4727.0,Callac,22
22025,Callac,22,2017,production energetique,025,22025,"48.42196827664741, -3.416491285381751",Chaleur,Bois énergie chaufferies,1655.0,3606.0,Callac,22
22026,Calorguen,22,2017,production energetique,026,22026,"48.40509142929895, -2.025985496611696",Chaleur,Solaire thermique,10.0,9.0,Calorguen,22
22026,Calorguen,22,2017,production energetique,026,22026,"48.40509142929895, -2.025985496611696",Electricité,Solaire PV,70.0,67.0,Calorguen,22
22026,Calorguen,22,2017,production energetique,026,22026,"48.40509142929895, -2.025985496611696",Chaleur,PAC (aérothermie et géothermie),348.0,273.0,Calorguen,22
22026,Calorguen,22,2017,production energetique,026,22026,"48.40509142929895, -2.025985496611696",Electricité,Hydroélectricité,0.0,0.0,Calorguen,22
22026,Calorguen,22,2017,production energetique,026,22026,"48.40509142929895, -2.025985496611696",Chaleur,Bois énergie domestique,1658.0,1399.0,Calorguen,22
22027,Le Cambout,22,2017,production energetique,027,22027,"48.059113527873514, -2.620841543398244",Chaleur,Solaire thermique,10.0,7.0,Le Cambout,22
22027,Le Cambout,22,2017,production energetique,027,22027,"48.059113527873514, -2.620841543398244",Chaleur,PAC (aérothermie et géothermie),290.0,228.0,Le Cambout,22
22027,Le Cambout,22,2017,production energetique,027,22027,"48.059113527873514, -2.620841543398244",Electricité,Hydroélectricité,0.0,0.0,Le Cambout,22
22027,Le Cambout,22,2017,production energetique,027,22027,"48.059113527873514, -2.620841543398244",Chaleur,Bois énergie domestique,1085.0,915.0,Le Cambout,22
22028,Camlez,22,2017,production energetique,028,22028,"48.7832070650471, -3.3154023929294625",Chaleur,Solaire thermique,20.0,11.0,Camlez,22
22028,Camlez,22,2017,production energetique,028,22028,"48.7832070650471, -3.3154023929294625",Electricité,Solaire PV,65.0,67.0,Camlez,22
22028,Camlez,22,2017,production energetique,028,22028,"48.7832070650471, -3.3154023929294625",Chaleur,PAC (aérothermie et géothermie),448.0,352.0,Camlez,22
22028,Camlez,22,2017,production energetique,028,22028,"48.7832070650471, -3.3154023929294625",Electricité,Hydroélectricité,0.0,0.0,Camlez,22
22028,Camlez,22,2017,production energetique,028,22028,"48.7832070650471, -3.3154023929294625",Electricité,Fossile,2027.0,6502.0,Camlez,22
22028,Camlez,22,2017,production energetique,028,22028,"48.7832070650471, -3.3154023929294625",Chaleur,Fossile,2280.0,7315.0,Camlez,22
22028,Camlez,22,2017,production energetique,028,22028,"48.7832070650471, -3.3154023929294625",Chaleur,Bois énergie domestique,1744.0,1472.0,Camlez,22
22029,Canihuel,22,2017,production energetique,029,22029,"48.337245775243694, -3.0959063599846113",Chaleur,Solaire thermique,10.0,6.0,Canihuel,22
22029,Canihuel,22,2017,production energetique,029,22029,"48.337245775243694, -3.0959063599846113",Chaleur,PAC (aérothermie et géothermie),262.0,206.0,Canihuel,22
22029,Canihuel,22,2017,production energetique,029,22029,"48.337245775243694, -3.0959063599846113",Electricité,Hydroélectricité,0.0,0.0,Canihuel,22
22029,Canihuel,22,2017,production energetique,029,22029,"48.337245775243694, -3.0959063599846113",Chaleur,Bois énergie domestique,939.0,793.0,Canihuel,22
22030,Caouënnec-Lanvézéac,22,2017,production energetique,030,22030,"48.705892344939876, -3.3675467732029523",Chaleur,Solaire thermique,10.0,10.0,Caouënnec-Lanvézéac,22
22030,Caouënnec-Lanvézéac,22,2017,production energetique,030,22030,"48.705892344939876, -3.3675467732029523",Electricité,Solaire PV,140.0,158.0,Caouënnec-Lanvézéac,22
22030,Caouënnec-Lanvézéac,22,2017,production energetique,030,22030,"48.705892344939876, -3.3675467732029523",Chaleur,PAC (aérothermie et géothermie),399.0,314.0,Caouënnec-Lanvézéac,22
22030,Caouënnec-Lanvézéac,22,2017,production energetique,030,22030,"48.705892344939876, -3.3675467732029523",Electricité,Hydroélectricité,0.0,0.0,Caouënnec-Lanvézéac,22
22030,Caouënnec-Lanvézéac,22,2017,production energetique,030,22030,"48.705892344939876, -3.3675467732029523",Chaleur,Bois énergie domestique,1752.0,1479.0,Caouënnec-Lanvézéac,22
22031,Carnoët,22,2017,production energetique,031,22031,"48.359241336135476, -3.53211129444564",Chaleur,Solaire thermique,20.0,12.0,Carnoët,22
22031,Carnoët,22,2017,production energetique,031,22031,"48.359241336135476, -3.53211129444564",Electricité,Solaire PV,104.0,110.0,Carnoët,22
22031,Carnoët,22,2017,production energetique,031,22031,"48.359241336135476, -3.53211129444564",Chaleur,PAC (aérothermie et géothermie),488.0,383.0,Carnoët,22
22031,Carnoët,22,2017,production energetique,031,22031,"48.359241336135476, -3.53211129444564",Electricité,Hydroélectricité,0.0,0.0,Carnoët,22
22031,Carnoët,22,2017,production energetique,031,22031,"48.359241336135476, -3.53211129444564",Chaleur,Bois énergie domestique,1775.0,1499.0,Carnoët,22
22032,Caulnes,22,2017,production energetique,032,22032,"48.30216325406062, -2.1604139620127762",Chaleur,Solaire thermique,40.0,29.0,Caulnes,22
22032,Caulnes,22,2017,production energetique,032,22032,"48.30216325406062, -2.1604139620127762",Electricité,Solaire PV,119.0,126.0,Caulnes,22
22032,Caulnes,22,2017,production energetique,032,22032,"48.30216325406062, -2.1604139620127762",Chaleur,PAC (aérothermie et géothermie),1175.0,924.0,Caulnes,22
22032,Caulnes,22,2017,production energetique,032,22032,"48.30216325406062, -2.1604139620127762",Electricité,Hydroélectricité,0.0,0.0,Caulnes,22
22032,Caulnes,22,2017,production energetique,032,22032,"48.30216325406062, -2.1604139620127762",Chaleur,Bois énergie domestique,5556.0,4689.0,Caulnes,22
22033,Caurel,22,2017,production energetique,033,22033,"48.21724561201957, -3.039756388323664",Chaleur,Solaire thermique,10.0,9.0,Caurel,22
22033,Caurel,22,2017,production energetique,033,22033,"48.21724561201957, -3.039756388323664",Chaleur,PAC (aérothermie et géothermie),365.0,287.0,Caurel,22
22033,Caurel,22,2017,production energetique,033,22033,"48.21724561201957, -3.039756388323664",Electricité,Hydroélectricité,0.0,0.0,Caurel,22
22033,Caurel,22,2017,production energetique,033,22033,"48.21724561201957, -3.039756388323664",Electricité,Éolien terrestre,2550.0,2968.0,Caurel,22
