Code département;Code de la commune;LIBGEO;% Exp/Ins;CODGEO;Score_Gauche;Score_Droite;Score_Divers
22;52;Duault;53.96;22052;37.06;60.84;2.1
22;57;Le Faouët;71.1;22057;37.38;61.67;0.95
22;61;Glomel;53.97;22061;57.09;42.21;0.7
22;63;Gommenec'h;48.03;22063;36.54;62.56;0.9
22;64;Gouarec;55.07;22064;46.57;53.42;0.01
22;65;Goudelin;51.34;22065;33.68;65.02;1.3
22;67;Grâces;50.58;22067;47.1;51.84;1.06
22;70;Guingamp;46.98;22070;45.63;53.75;0.62
22;72;Gurunhuel;51.99;22072;38.24;58.83;2.93
22;87;Kergrist-Moëlou;59.17;22087;61.27;38.01;0.72
22;88;Kerien;52.66;22088;31.2;67.88;0.92
22;91;Kermoroc'h;49.56;22091;52.66;46.74;0.6
22;92;Kerpert;54.55;22092;49.99;50.0;0.01
22;95;Landebaëron;62.34;22095;39.58;59.38;1.04
22;107;Bon Repos sur Blavet;56.26;22107;52.39;46.87;0.74
22;112;Lannebert;48.42;22112;35.51;64.49;0.0
22;115;Lanrivain;60.7;22115;49.77;48.79;1.44
22;116;Lanrodec;52.93;22116;35.88;63.1;1.02
22;119;Lanvellec;63.94;22119;52.43;47.25;0.32
22;121;Lanvollon;50.86;22121;33.14;65.69;1.17
22;124;Lescouët-Gouarec;50.32;22124;68.36;31.64;0.0
22;128;Locarn;65.69;22128;43.29;55.73;0.98
22;129;Loc-Envel;68.66;22129;58.7;41.31;0.0
22;131;Loguivy-Plougras;56.26;22131;38.39;59.41;2.2
22;132;Lohuec;51.46;22132;36.79;62.26;0.95
22;135;Louargat;49.47;22135;43.27;55.54;1.19
22;137;Maël-Carhaix;55.73;22137;51.08;47.93;0.99
22;138;Maël-Pestivien;54.96;22138;53.47;45.13;1.4
22;139;Magoar;57.35;22139;25.64;74.36;0.0
22;146;Mellionnec;61.04;22146;76.33;23.22;0.45
22;150;Le Merzer;54.92;22150;34.34;64.65;1.01
22;156;Moustéru;55.13;22156;46.66;51.58;1.76
22;157;Le Moustoir;48.49;22157;44.4;54.35;1.25
22;161;Pabu;59.18;22161;42.76;56.41;0.83
22;163;Paule;49.73;22163;52.72;46.18;1.1
22;164;Pédernec;49.93;22164;44.22;55.51;0.27
22;169;Peumerit-Quintin;69.42;22169;70.24;29.75;0.01
22;177;Pléguien;54.67;22177;42.09;57.75;0.16
22;181;Plélauff;55.76;22181;56.73;42.95;0.32
22;189;Plésidy;47.31;22189;30.7;69.31;0.0
22;194;Plestin-les-Grèves;60.57;22194;42.36;57.06;0.58
22;202;Plévin;46.68;22202;42.68;56.93;0.39
22;206;Châtelaudren-Plouagat;51.52;22206;41.48;57.47;1.05
22;207;Plouaret;56.85;22207;43.54;55.95;0.51
22;216;Plougonver;57.09;22216;39.87;59.19;0.94
22;217;Plougras;55.31;22217;45.46;50.51;4.03
22;220;Plouguernével;60.34;22220;68.82;30.8;0.38
22;223;Plouisy;52.02;22223;47.64;51.97;0.39
22;225;Ploumagoar;50.87;22225;44.93;54.44;0.63
22;226;Ploumilliau;56.4;22226;41.16;57.83;1.01
22;227;Plounérin;55.81;22227;42.6;55.84;1.56
22;228;Plounévez-Moëdec;52.83;22228;45.45;54.22;0.33
22;229;Plounévez-Quintin;53.85;22229;55.76;43.77;0.47
22;231;Plourac'h;60.52;22231;43.9;56.1;0.0
22;235;Plouzélambre;61.58;22235;41.28;58.71;0.01
22;238;Plufur;54.18;22238;47.87;51.36;0.77
22;243;Plusquellec;59.03;22243;47.45;51.77;0.78
22;245;Pluzunet;55.27;22245;46.67;51.96;1.37
22;248;Pommerit-le-Vicomte;53.04;22248;42.2;57.39;0.41
22;249;Pont-Melvez;45.44;22249;31.05;68.5;0.45
22;266;Rostrenen;57.33;22266;57.17;42.52;0.31
22;271;Saint-Adrien;45.85;22271;42.02;57.24;0.74
22;272;Saint-Agathon;48.86;22272;46.48;52.21;1.31
22;284;Saint-Connan;51.93;22284;43.81;56.21;0.0
22;289;Saint-Fiacre;51.98;22289;45.65;54.36;0.0
22;294;Saint-Gilles-Pligeaux;59.26;22294;37.5;61.72;0.78
22;304;Saint-Jean-Kerdaniel;54.78;22304;48.03;51.97;0.0
22;310;Saint-Laurent;53.93;22310;47.91;52.08;0.01
22;319;Saint-Michel-en-Grève;57.32;22319;42.86;56.71;0.43
22;320;Saint-Nicodème;57.66;22320;63.3;36.7;0.0
22;321;Saint-Nicolas-du-Pélem;50.72;22321;49.92;49.6;0.48
22;322;Saint-Péver;55.13;22322;33.13;66.28;0.59
22;328;Saint-Servais;64.97;22328;54.45;45.01;0.54
22;331;Sainte-Tréphine;53.33;22331;27.78;72.22;0.0
22;334;Saint-Igeaux;68.22;22334;58.91;41.1;0.0
22;335;Senven-Léhart;45.51;22335;19.76;75.31;4.93
22;338;Squiffiec;49.38;22338;36.92;62.15;0.93
22;340;Tonquédec;53.18;22340;47.26;51.43;1.31
22;344;Trébrivan;54.81;22344;60.61;38.08;1.31
22;349;Trédrez-Locquémeau;59.63;22349;52.5;47.36;0.14
22;350;Tréduder;73.2;22350;49.3;49.99;0.71
22;351;Treffrin;54.9;22351;53.11;45.63;1.26
22;354;Tréglamus;45.15;22354;44.98;53.29;1.73
22;358;Trégonneau;53.09;22358;51.63;46.99;1.38
22;359;Trégrom;59.38;22359;51.31;48.71;0.0
22;361;Tréguidel;56.66;22361;37.75;61.59;0.66
22;365;Trémargat;69.87;22365;91.74;8.26;0.0
22;366;Trémel;51.67;22366;36.48;61.77;1.75
22;370;Tréméven;52.48;22370;35.22;63.52;1.26
22;373;Tréogan;63.51;22373;34.05;63.83;2.12
22;375;Tressignaux;56.51;22375;47.72;51.63;0.65
22;378;Trévérec;51.6;22378;38.14;61.85;0.01
22;387;Le Vieux-Marché;56.71;22387;48.33;51.17;0.5
22;6;Berhet;56.79;22006;44.57;53.26;2.17
22;16;Ile-de-Bréhat;66.0;22016;23.8;75.9;0.3
22;18;Brélidy;58.37;22018;58.67;40.67;0.66
22;28;Camlez;53.05;22028;37.92;61.2;0.88
22;30;Caouënnec-Lanvézéac;49.63;22030;50.45;48.95;0.6
22;34;Cavan;57.6;22034;50.36;49.34;0.3
22;41;Coatascorn;62.44;22041;54.68;44.53;0.79
22;42;Coatréven;52.49;22042;36.0;64.0;0.0
22;55;Binic - Etables-sur-Mer;55.81;22055;37.23;61.19;1.58
22;85;Kerbors;57.42;22085;38.77;60.54;0.69
22;86;Kerfot;51.97;22086;33.2;66.78;0.02
22;90;Kermaria-Sulard;53.33;22090;46.3;53.49;0.21
22;101;Langoat;51.18;22101;42.14;55.77;2.09
22;108;Lanleff;70.75;22108;55.99;43.99;0.02
22;109;Lanloup;65.64;22109;34.38;64.85;0.77
22;110;Lanmérin;49.88;22110;50.26;49.76;0.0
22;111;Lanmodez;64.59;22111;31.39;68.21;0.4
22;113;Lannion;52.58;22113;49.3;49.67;1.03
22;117;Lantic;53.39;22117;37.94;61.65;0.41
22;127;Lézardrieux;58.24;22127;30.73;69.03;0.24
22;134;Louannec;59.67;22134;36.64;62.4;0.96
22;141;Mantallot;47.13;22141;53.66;45.12;1.22
22;152;Minihy-Tréguier;58.5;22152;39.0;60.6;0.4
22;162;Paimpol;57.21;22162;38.1;61.09;0.81
22;166;Penvénan;59.21;22166;36.32;62.93;0.75
22;168;Perros-Guirec;55.59;22168;31.99;67.23;0.78
22;178;Pléhédel;54.49;22178;44.19;55.46;0.35
22;195;Pleubian;54.13;22195;33.68;65.35;0.97
22;196;Pleudaniel;56.77;22196;39.65;58.89;1.46
22;198;Pleumeur-Bodou;58.85;22198;45.88;53.23;0.89
22;199;Pleumeur-Gautier;47.26;22199;31.75;67.81;0.44
22;204;Ploëzal;55.67;22204;52.48;46.07;1.45
22;210;Ploubazlanec;57.74;22210;36.81;61.97;1.22
22;211;Ploubezre;53.09;22211;47.24;51.86;0.9
22;212;Plouëc-du-Trieux;62.17;22212;59.78;38.97;1.25
22;214;Plouézec;55.17;22214;40.34;59.24;0.42
22;218;Plougrescant;55.92;22218;45.45;53.84;0.71
22;221;Plouguiel;53.97;22221;52.52;46.48;1.0
22;222;Plouha;55.37;22222;39.52;59.31;1.17
22;224;Ploulec'h;58.95;22224;48.18;50.81;1.01
22;232;Plourhan;57.02;22232;41.32;57.64;1.04
22;233;Plourivo;49.38;22233;38.77;60.15;1.08
22;236;Pludual;50.36;22236;34.18;64.75;1.07
22;250;Pontrieux;55.48;22250;51.32;47.94;0.74
22;254;Prat;55.25;22254;41.9;57.25;0.85
22;256;Quemper-Guézennec;54.86;22256;40.73;59.06;0.21
22;257;Quemperven;51.83;22257;44.22;55.76;0.02
22;264;La Roche-Jaudy;53.99;22264;43.75;55.67;0.58
22;265;Rospez;53.57;22265;43.47;55.61;0.92
22;269;Runan;63.28;22269;41.96;57.14;0.9
22;283;Saint-Clet;59.71;22283;61.48;38.27;0.25
22;293;Saint-Gilles-les-Bois;55.39;22293;48.64;51.36;0.0
22;324;Saint-Quay-Perros;56.64;22324;42.91;56.04;1.05
22;325;Saint-Quay-Portrieux;55.08;22325;31.85;67.26;0.89
22;343;Trébeurden;57.62;22343;39.06;59.96;0.98
22;347;Trédarzec;55.59;22347;46.95;52.45;0.6
22;353;Trégastel;59.8;22353;35.92;63.14;0.94
22;362;Tréguier;55.97;22362;43.12;56.2;0.68
22;363;Trélévern;60.47;22363;42.4;56.84;0.76
22;377;Tréveneuc;57.46;22377;34.68;61.06;4.26
22;379;Trévou-Tréguignec;56.67;22379;43.04;56.03;0.93
22;381;Trézény;55.21;22381;33.56;65.73;0.71
