Code département;LIBGEO;Score_Gauche;Score_Droite;Score_Divers
29;Névez;35.36;64.65;0.0
29;Ouessant;43.02;56.97;0.01
29;Pencran;28.75;71.25;0.0
29;Penmarch;31.43;68.57;0.0
29;Peumerit;40.03;59.97;0.0
29;Plabennec;25.94;73.46;0.6
29;Pleuven;30.18;69.82;0.0
29;Pleyben;32.51;67.48;0.01
29;Pleyber-Christ;35.98;64.02;0.0
29;Plobannalec-Lesconil;33.87;66.12;0.01
29;Ploéven;34.11;65.9;0.0
29;Plogastel-Saint-Germain;29.56;70.43;0.01
29;Plogoff;26.19;73.82;0.0
29;Plogonnec;30.64;69.36;0.0
29;Plomelin;34.82;65.18;0.0
29;Plomeur;27.4;72.61;0.0
29;Plomodiern;34.49;65.51;0.0
29;Plonéis;26.81;73.19;0.0
29;Plonéour-Lanvern;33.79;66.21;0.0
29;Plonévez-du-Faou;41.17;58.82;0.01
29;Plonévez-Porzay;32.39;67.61;0.0
29;Plouarzel;22.36;77.12;0.52
29;Ploudalmézeau;21.23;78.25;0.52
29;Ploudaniel;23.2;76.79;0.01
29;Ploudiry;28.86;71.14;0.0
29;Plouédern;27.7;72.31;0.0
29;Plouégat-Guérand;39.15;60.85;0.0
29;Plouégat-Moysan;27.36;72.64;0.0
29;Plouénan;26.0;74.0;0.0
29;Plouescat;23.06;76.94;0.0
29;Plouezoc'h;41.08;58.93;0.0
29;Plougar;20.66;79.35;0.0
29;Plougasnou;36.28;63.72;0.0
29;Plougastel-Daoulas;41.31;58.7;0.0
29;Plougonvelin;23.19;76.58;0.23
29;Plougonven;38.6;61.4;0.0
29;Plougoulm;25.35;74.65;0.0
29;Plougourvest;20.32;79.68;0.0
29;Plouguerneau;26.98;73.01;0.01
29;Plouguin;19.99;79.85;0.16
29;Plouhinec;29.16;70.84;0.0
29;Plouider;26.75;73.25;0.0
29;Plouigneau;31.73;68.29;0.0
29;Ploumoguer;22.08;77.42;0.5
29;Plounéour-Ménez;48.19;51.81;0.0
29;Plounéventer;23.3;76.69;0.01
29;Plounévézel;37.7;62.29;0.01
29;Plounévez-Lochrist;17.97;82.05;0.0
29;Plourin-lès-Morlaix;38.51;61.49;0.0
29;Plourin;20.67;78.49;0.84
29;Plouvien;21.74;78.03;0.23
29;Plouvorn;19.4;80.6;0.0
29;Plouyé;42.24;57.77;0.0
29;Plouzané;30.95;68.58;0.47
29;Plouzévédé;18.99;81.0;0.01
29;Plovan;40.39;59.62;0.0
29;Plozévet;36.99;63.01;0.0
29;Pluguffan;32.36;67.64;0.0
29;Pont-Aven;40.53;59.48;0.0
29;Pont-Croix;35.57;64.42;0.01
29;Pont-l'Abbé;34.34;65.67;0.0
29;Porspoder;26.38;73.3;0.32
29;Port-Launay;39.19;60.81;0.0
29;Pouldergat;23.6;76.4;0.0
29;Pouldreuzic;35.0;64.99;0.01
29;Poullan-sur-Mer;27.06;72.96;0.0
29;Poullaouen;42.67;57.34;0.0
29;Primelin;24.8;75.19;0.01
29;Quéménéven;35.67;64.34;0.0
29;Querrien;43.27;56.73;0.0
29;Quimper;39.93;60.07;0.0
29;Quimperlé;46.41;53.59;0.0
29;Rédené;38.02;61.97;0.01
