Geo Point;Code département;Libellé département;CODGEO;Libellé Commune
48.55368420875413, -4.07331961037924;29;Finistère;29193;Plougourvest
48.521824143118046, -3.800356241427641;29;Finistère;29207;Plourin-lès-Morlaix
47.98289539329704, -4.409595620065422;29;Finistère;29215;Plozévet
48.28470455026268, -1.8935771677866975;35;Ille-et-Vilaine;35050;Cardroc
48.23539084784159, -1.571414344792969;35;Ille-et-Vilaine;35067;Chasné-sur-Illet
47.90217122331372, -1.2601964724962464;35;Ille-et-Vilaine;35102;Drouges
48.12210406716139, -1.816343492594703;35;Ille-et-Vilaine;35131;L'Hermitage
47.942818393168494, -1.5008217042548893;35;Ille-et-Vilaine;35136;Janzé
48.26119123572668, -2.060997795729424;35;Ille-et-Vilaine;35171;Médréac
48.21264921821098, -1.750675484838395;35;Ille-et-Vilaine;35177;La Mézière
48.305603944104526, -1.6688110108352618;35;Ille-et-Vilaine;35195;Montreuil-sur-Ille
48.30379956003011, -1.843296277109194;35;Ille-et-Vilaine;35258;Saint-Brieuc-des-Iffs
48.620029946915494, -2.096785519080407;35;Ille-et-Vilaine;35287;Saint-Lunaire
48.6386564332079, -1.905853879101373;35;Ille-et-Vilaine;35299;Saint-Méloir-des-Ondes
48.33563642058643, -1.9317864716205941;35;Ille-et-Vilaine;35318;Saint-Thual
47.89317340716374, -3.442755410196712;29;Finistère;29002;Arzano
48.09378616574339, -4.020431759963829;29;Finistère;29020;Briec
48.459764066341506, -3.792460092776704;29;Finistère;29034;Le Cloître-Saint-Thégonnec
47.8871419559671, -4.164161134106372;29;Finistère;29037;Combrit
48.08013693636966, -4.328018989613503;29;Finistère;29046;Douarnenez
48.483723613082184, -4.040465447415244;29;Finistère;29097;Lampaul-Guimiliau
48.127500970380616, -4.23929751807622;29;Finistère;29176;Plonévez-Porzay
48.67741339588434, -3.8117441993924177;29;Finistère;29188;Plougasnou
48.60173440857641, -4.292695500691613;29;Finistère;29198;Plouider
48.55742195774306, -2.293196544819061;22;Côtes-d'Armor;22323;Saint-Pôtan
48.24329965511069, -2.456955340483327;22;Côtes-d'Armor;22333;Saint-Vran
48.791135560533206, -3.2010945470937124;22;Côtes-d'Armor;22347;Trédarzec
48.191345434020995, -2.302331099455107;22;Côtes-d'Armor;22371;Trémorel
48.46614145008935, -3.1998492745005143;22;Côtes-d'Armor;22013;Bourbriac
48.42601578193849, -1.9776790432863975;22;Côtes-d'Armor;22035;Les Champs-Géraux
48.616854697979164, -2.8378636783415674;22;Côtes-d'Armor;22055;Binic-Étables-sur-Mer
48.38491069365288, -1.9800607383794606;22;Côtes-d'Armor;22056;Évran
48.41742839393511, -2.9149768281574744;22;Côtes-d'Armor;22059;Le Fœil
48.215038335689826, -2.5190952972110403;22;Côtes-d'Armor;22122;Laurenan
48.685540104635514, -3.4484114804534305;22;Côtes-d'Armor;22211;Ploubezre
48.49714890248999, -2.925240294524288;22;Côtes-d'Armor;22234;Plouvara
48.08348673581315, -2.4049653661568677;56;Morbihan;56056;Évriguet
47.48718108731061, -2.339652977867133;56;Morbihan;56058;Férel
47.7687942559813, -3.3274296933541865;56;Morbihan;56098;Lanester
47.302152147803476, -3.1053033023452077;56;Morbihan;56114;Locmaria
47.782651014104715, -3.0158710069031223;56;Morbihan;56177;Pluvigner
47.70238787094818, -2.148390402029292;56;Morbihan;56239;Saint-Vincent-sur-Oust
47.82485754860198, -2.497398685678352;56;Morbihan;56244;Sérent
47.70040779589602, -2.9528589698396592;56;Morbihan;56263;Sainte-Anne-d'Auray
48.166811917886925, -2.0835775790376387;35;Ille-et-Vilaine;35027;Boisgervilly
48.13824145402763, -1.910451545037365;35;Ille-et-Vilaine;35040;Breteil
48.6247418029858, -2.062086402017181;35;Ille-et-Vilaine;35093;Dinard
48.11397790627641, -2.0241562248166636;35;Ille-et-Vilaine;35133;Iffendic
48.30953814835501, -1.9411034906786995;35;Ille-et-Vilaine;35156;Longaulnay
48.44149587152473, -1.7327307872197084;35;Ille-et-Vilaine;35159;Lourmais
48.03460846669007, -1.056081623909977;35;Ille-et-Vilaine;35217;Le Pertre
47.927969795330114, -1.6162236966639998;35;Ille-et-Vilaine;35218;Le Petit-Fougeray
48.582681829103976, -2.060106288244273;35;Ille-et-Vilaine;35228;Pleurtuit
47.8989836970104, -1.6860818941533022;35;Ille-et-Vilaine;35231;Poligné
48.6158843649785, -2.1235133068874013;35;Ille-et-Vilaine;35256;Saint-Briac-sur-Mer
48.37610453586513, -1.5664239134957254;35;Ille-et-Vilaine;35309;Saint-Rémy-du-Plain
48.502289590770985, -1.5150621072780759;35;Ille-et-Vilaine;35329;Sougeal
47.848547896109274, -1.4580345179839755;35;Ille-et-Vilaine;35335;Thourie
48.344763833256536, -1.8972282370570666;35;Ille-et-Vilaine;35346;Trimer
48.10582591488604, -3.871582204648712;29;Finistère;29291;Trégourez
48.06146968440684, -3.3732071947699174;56;Morbihan;56048;Le Croisty
48.13184756976042, -3.4812112681866423;56;Morbihan;56100;Langonnet
47.88013020822618, -2.8375421312081484;56;Morbihan;56117;Locminé
48.06903632791677, -3.056520701038632;56;Morbihan;56125;Malguénac
47.67843128549341, -2.9458249937630443;56;Morbihan;56176;Pluneret
47.83935112378915, -3.4196205208909642;56;Morbihan;56179;Pont-Scorff
47.865270438266364, -3.365176418549055;56;Morbihan;56040;Cléguer
48.51024406560141, -2.421403787476828;22;Côtes-d'Armor;22261;Quintenic
48.42252057412616, -3.0064778314205967;22;Côtes-d'Armor;22291;Saint-Gildas
48.552569489421266, -3.0344991184971084;22;Côtes-d'Armor;22304;Saint-Jean-Kerdaniel
48.4544806876825, -2.182546600838218;22;Côtes-d'Armor;22315;Saint-Maudez
48.246377971630956, -2.840952357786138;22;Côtes-d'Armor;22330;Saint-Thélo
48.11585194959232, -2.115548709357491;35;Ille-et-Vilaine;35026;Bléruais
47.951365065545936, -1.5505641619247028;35;Ille-et-Vilaine;35041;Brie
48.19332401145025, -1.3799025561590517;35;Ille-et-Vilaine;35101;Dourdain
48.21331706172669, -1.7990054643715325;35;Ille-et-Vilaine;35120;Gévezé
48.37969385527992, -1.1528904591638076;35;Ille-et-Vilaine;35138;Laignelet
47.91752457260718, -1.2794087675472177;35;Ille-et-Vilaine;35199;Moussé
48.46597819707766, -1.256584978968836;35;Ille-et-Vilaine;35230;Poilley
48.05682234399225, -2.0645269259210486;35;Ille-et-Vilaine;35305;Saint-Péran
48.11767166084482, -1.7492456301085477;35;Ille-et-Vilaine;35353;Vezin-le-Coquet
48.11411110392002, -1.1934825616829488;35;Ille-et-Vilaine;35360;Vitré
48.49410497493759, -2.5510433254576497;22;Côtes-d'Armor;22002;Andel
48.46832061079392, -2.9849252040192678;22;Côtes-d'Armor;22011;Boqueho
48.64929062701858, -3.227795253843802;22;Côtes-d'Armor;22018;Brélidy
48.40509142929895, -2.025985496611696;22;Côtes-d'Armor;22026;Calorguen
48.30991342390647, -3.037664422933633;22;Côtes-d'Armor;22047;Corlay
48.288071874347686, -3.410398312983865;22;Côtes-d'Armor;22137;Maël-Carhaix
48.193666253812545, -2.3962263250940814;22;Côtes-d'Armor;22147;Merdrignac
48.249932901208375, -2.391016176335452;22;Côtes-d'Armor;22148;Mérillac
48.20148379493991, -2.9579644187448335;22;Côtes-d'Armor;22158;Guerlédan
48.3633623991001, -3.2850971954653323;22;Côtes-d'Armor;22169;Peumerit-Quintin
48.59482857983857, -2.3335886850339618;22;Côtes-d'Armor;22174;Pléboulle
48.468676894060096, -2.3716237728696155;22;Côtes-d'Armor;22175;Plédéliac
48.24037676760562, -2.8979149686613312;22;Côtes-d'Armor;22260;Le Quillio
48.391153831609444, -3.852120077831934;29;Finistère;29054;La Feuillée
48.41910761330982, -4.562254932280249;29;Finistère;29069;Guilers
48.43704686558675, -4.169956269532001;29;Finistère;29144;La Martyre
47.81233052276366, -4.341450919809526;29;Finistère;29158;Penmarch
47.935833589390114, -4.15009510373057;29;Finistère;29170;Plomelin
48.537582319699936, -4.6697345611895695;29;Finistère;29178;Ploudalmézeau
48.04015419009224, -4.326541284120877;29;Finistère;29224;Pouldergat
47.856152094565374, -3.555022112400577;29;Finistère;29233;Quimperlé
48.61584518217856, -3.2429792563607864;22;Côtes-d'Armor;22310;Saint-Laurent
48.487864499900226, -2.0542220825272572;22;Côtes-d'Armor;22339;Taden
48.46571474215161, -3.4399666603374586;22;Côtes-d'Armor;22037;La Chapelle-Neuve
48.637650509074476, -3.2048713656243346;22;Côtes-d'Armor;22095;Landebaëron
48.601615150300745, -2.2901490021441537;22;Côtes-d'Armor;22143;Matignon
48.35828488139576, -2.633834275073219;22;Côtes-d'Armor;22153;Moncontour
48.81700826489818, -3.301898392456582;22;Côtes-d'Armor;22166;Penvénan
48.285371578031594, -3.24079164125249;22;Côtes-d'Armor;22229;Plounévez-Quintin
48.35648212102285, -2.115087696133466;22;Côtes-d'Armor;22239;Plumaudan
48.24543099765484, -2.2308622835043583;22;Côtes-d'Armor;22240;Plumaugat
48.69979623594092, -3.1591538791565714;22;Côtes-d'Armor;22250;Pontrieux
48.375417872633165, -2.96712057246496;22;Côtes-d'Armor;22276;Saint-Bihy
48.2664014945255, -2.178668219985802;22;Côtes-d'Armor;22305;Saint-Jouan-de-l'Isle
48.366928813953095, -4.201410807644828;29;Finistère;29086;Irvillac
48.58916524739115, -4.57675680630691;29;Finistère;29101;Landéda
48.10057890067153, -3.7785032101202103;29;Finistère;29125;Leuhan
47.806298657338104, -3.645596039415908;29;Finistère;29150;Moëlan-sur-Mer
48.52304886903614, -4.313790072614656;29;Finistère;29179;Ploudaniel
47.961160213664726, -4.3638563976131906;29;Finistère;29225;Pouldreuzic
47.85540573677962, -3.4870644099357286;29;Finistère;29234;Rédené
48.44396511019734, -1.1096719466145948;35;Ille-et-Vilaine;35018;La Bazouge-du-Désert
48.346757745802186, -1.155558321320474;35;Ille-et-Vilaine;35021;Beaucé
48.0674377367923, -1.4062201329912196;35;Ille-et-Vilaine;35096;Domagné
48.35276718322625, -1.1944135772968316;35;Ille-et-Vilaine;35115;Fougères
48.25038062935976, -1.4586632867491638;35;Ille-et-Vilaine;35121;Gosné
47.92342051419802, -1.861984115368674;35;Ille-et-Vilaine;35127;Guignen
48.35987469826374, -1.2210261111294776;35;Ille-et-Vilaine;35150;Lécousse
48.4006355517509, -1.3457276180254811;35;Ille-et-Vilaine;35257;Maen Roch
47.910001473653764, -1.7900153160392098;35;Ille-et-Vilaine;35312;Saint-Senoux
48.280270451880995, -1.8031497826557576;35;Ille-et-Vilaine;35317;Saint-Symphorien
47.523495299753975, -2.4793785331757707;56;Morbihan;56018;Billiers
47.47762243008124, -2.3986933068284566;56;Morbihan;56030;Camoël
48.0389554147166, -2.764997915237353;56;Morbihan;56047;Crédin
48.00158379181695, -2.503986676988169;56;Morbihan;56068;La Grée-Saint-Laurent
48.04277072023759, -3.623328046984369;56;Morbihan;56081;Guiscriff
47.86442252308834, -2.5202256465911703;56;Morbihan;56112;Lizio
47.75071301573847, -3.378920874280433;56;Morbihan;56121;Lorient
