LIBGEO;CODGEO;filiere;energie_type;production_mwh;puissances_kw;Code département;Code de la commune
Coatascorn;22041;PAC (aérothermie et géothermie);Chaleur;105.0;134.0;22;041
Coatascorn;22041;Solaire thermique;Chaleur;3.0;0.0;22;041
Coatréven;22042;Bois énergie domestique;Chaleur;879.0;1042.0;22;042
Coatréven;22042;Hydroélectricité;Electricité;0.0;0.0;22;042
Coatréven;22042;PAC (aérothermie et géothermie);Chaleur;197.0;251.0;22;042
Coatréven;22042;Solaire thermique;Chaleur;6.0;10.0;22;042
Coëtlogon;22043;Bois énergie domestique;Chaleur;497.0;589.0;22;043
Coëtlogon;22043;Hydroélectricité;Electricité;0.0;0.0;22;043
Coëtlogon;22043;PAC (aérothermie et géothermie);Chaleur;120.0;152.0;22;043
Coëtlogon;22043;Solaire thermique;Chaleur;4.0;10.0;22;043
Coëtmieux;22044;Bois énergie chaufferies;Chaleur;201.0;220.0;22;044
Coëtmieux;22044;Bois énergie domestique;Chaleur;2754.0;3263.0;22;044
Coëtmieux;22044;Hydroélectricité;Electricité;0.0;0.0;22;044
Coëtmieux;22044;PAC (aérothermie et géothermie);Chaleur;574.0;730.0;22;044
Coëtmieux;22044;Solaire thermique;Chaleur;18.0;30.0;22;044
Cohiniac;22045;Bois énergie domestique;Chaleur;714.0;846.0;22;045
Cohiniac;22045;Hydroélectricité;Electricité;0.0;0.0;22;045
Cohiniac;22045;PAC (aérothermie et géothermie);Chaleur;152.0;193.0;22;045
Cohiniac;22045;Solaire PV;Electricité;45.0;42.0;22;045
Cohiniac;22045;Solaire thermique;Chaleur;5.0;10.0;22;045
Le Mené;22046;Bois énergie chaufferies;Chaleur;2945.0;1400.0;22;046
Le Mené;22046;Bois énergie domestique;Chaleur;12318.0;14594.0;22;046
Le Mené;22046;Éolien terrestre;Electricité;20089.0;9600.0;22;046
Le Mené;22046;Hydroélectricité;Electricité;0.0;0.0;22;046
Le Mené;22046;Méthanisation;Chaleur;13088.0;1920.0;22;046
Le Mené;22046;Méthanisation;Electricité;10634.0;1560.0;22;046
Le Mené;22046;PAC (aérothermie et géothermie);Chaleur;2780.0;3536.0;22;046
Le Mené;22046;Solaire PV;Electricité;937.0;838.0;22;046
Le Mené;22046;Solaire thermique;Chaleur;87.0;120.0;22;046
Corlay;22047;Bois énergie domestique;Chaleur;1954.0;2315.0;22;047
Corlay;22047;Hydroélectricité;Electricité;0.0;0.0;22;047
Corlay;22047;PAC (aérothermie et géothermie);Chaleur;449.0;571.0;22;047
Corlay;22047;Solaire PV;Electricité;64.0;60.0;22;047
Corlay;22047;Solaire thermique;Chaleur;14.0;20.0;22;047
Corseul;22048;Bois énergie chaufferies;Chaleur;29.0;35.0;22;048
Corseul;22048;Bois énergie domestique;Chaleur;4444.0;5266.0;22;048
Corseul;22048;Hydroélectricité;Electricité;0.0;0.0;22;048
Corseul;22048;Méthanisation;Biométhane;0.0;0.0;22;048
Corseul;22048;PAC (aérothermie et géothermie);Chaleur;931.0;1184.0;22;048
Corseul;22048;Solaire PV;Electricité;68.0;66.0;22;048
Corseul;22048;Solaire thermique;Chaleur;29.0;40.0;22;048
Créhen;22049;Bois énergie domestique;Chaleur;3053.0;3617.0;22;049
Créhen;22049;Hydroélectricité;Electricité;0.0;0.0;22;049
Créhen;22049;PAC (aérothermie et géothermie);Chaleur;683.0;868.0;22;049
Créhen;22049;Solaire thermique;Chaleur;21.0;30.0;22;049
Dinan;22050;Bois énergie chaufferies;Chaleur;338.0;300.0;22;050
Dinan;22050;Bois énergie domestique;Chaleur;10649.0;12617.0;22;050
Dinan;22050;Fossile;Chaleur;0.0;852.0;22;050
Dinan;22050;Fossile;Electricité;0.0;757.0;22;050
Dinan;22050;Hydroélectricité;Electricité;0.0;0.0;22;050
Dinan;22050;PAC (aérothermie et géothermie);Chaleur;2949.0;3751.0;22;050
Dinan;22050;Solaire PV;Electricité;258.0;301.0;22;050
Dinan;22050;Solaire thermique;Chaleur;92.0;130.0;22;050
Duault;22052;Bois énergie domestique;Chaleur;799.0;947.0;22;052
Duault;22052;Hydroélectricité;Electricité;0.0;0.0;22;052
Duault;22052;PAC (aérothermie et géothermie);Chaleur;219.0;279.0;22;052
Duault;22052;Solaire thermique;Chaleur;7.0;10.0;22;052
Éréac;22053;Bois énergie domestique;Chaleur;1354.0;1605.0;22;053
Éréac;22053;Hydroélectricité;Electricité;0.0;0.0;22;053
Éréac;22053;Méthanisation;Chaleur;0.0;0.0;22;053
Éréac;22053;Méthanisation;Electricité;0.0;0.0;22;053
Éréac;22053;PAC (aérothermie et géothermie);Chaleur;327.0;416.0;22;053
Éréac;22053;Solaire PV;Electricité;221.0;200.0;22;053
Éréac;22053;Solaire thermique;Chaleur;10.0;10.0;22;053
Erquy;22054;Bois énergie domestique;Chaleur;9144.0;10833.0;22;054
Erquy;22054;Éolien en mer;Electricité;0.0;0.0;22;054
Erquy;22054;Hydroélectricité;Electricité;0.0;0.0;22;054
Erquy;22054;PAC (aérothermie et géothermie);Chaleur;2976.0;3786.0;22;054
Erquy;22054;Solaire PV;Electricité;150.0;131.0;22;054
Erquy;22054;Solaire thermique;Chaleur;93.0;130.0;22;054
Binic-Étables-sur-Mer;22055;Bois énergie chaufferies;Chaleur;1022.0;360.0;22;055
Binic-Étables-sur-Mer;22055;Bois énergie domestique;Chaleur;10250.0;12144.0;22;055
Binic-Étables-sur-Mer;22055;Hydroélectricité;Electricité;0.0;0.0;22;055
Binic-Étables-sur-Mer;22055;PAC (aérothermie et géothermie);Chaleur;3405.0;4331.0;22;055
Binic-Étables-sur-Mer;22055;Solaire PV;Electricité;255.0;233.0;22;055
Binic-Étables-sur-Mer;22055;Solaire thermique;Chaleur;106.0;150.0;22;055
Évran;22056;Bois énergie chaufferies;Chaleur;143.0;110.0;22;056
Évran;22056;Bois énergie domestique;Chaleur;3416.0;4048.0;22;056
