CODGEO,LIBGEO,Code département,annee,type,code_de_la_commune,code_com,geo_point,loyer_pr_dit_en_euros_par_m_,nom_com,code_dep
22026,Calorguen,22,2024,carte loyer,026,22026,"48.40509142929895, -2.025985496611696",10.9427490184733,Calorguen,22
22026,Calorguen,22,2024,carte loyer,026,22026,"48.40509142929895, -2.025985496611696",9.07094090887229,Calorguen,22
22027,Le Cambout,22,2024,carte loyer,027,22027,"48.059113527873514, -2.620841543398244",8.08285076112115,Le Cambout,22
22027,Le Cambout,22,2024,carte loyer,027,22027,"48.059113527873514, -2.620841543398244",7.69868490237925,Le Cambout,22
22028,Camlez,22,2024,carte loyer,028,22028,"48.7832070650471, -3.3154023929294625",10.0094169143978,Camlez,22
22028,Camlez,22,2024,carte loyer,028,22028,"48.7832070650471, -3.3154023929294625",8.23843488210609,Camlez,22
22029,Canihuel,22,2024,carte loyer,029,22029,"48.337245775243694, -3.0959063599846113",7.00107816870564,Canihuel,22
22029,Canihuel,22,2024,carte loyer,029,22029,"48.337245775243694, -3.0959063599846113",7.94901853142507,Canihuel,22
22030,Caouënnec-Lanvézéac,22,2024,carte loyer,030,22030,"48.705892344939876, -3.3675467732029523",10.0094169143978,Caouënnec-Lanvézéac,22
22030,Caouënnec-Lanvézéac,22,2024,carte loyer,030,22030,"48.705892344939876, -3.3675467732029523",8.23843488210609,Caouënnec-Lanvézéac,22
22031,Carnoët,22,2024,carte loyer,031,22031,"48.359241336135476, -3.53211129444564",7.32611707484028,Carnoët,22
22031,Carnoët,22,2024,carte loyer,031,22031,"48.359241336135476, -3.53211129444564",7.23941362128617,Carnoët,22
22032,Caulnes,22,2024,carte loyer,032,22032,"48.30216325406062, -2.1604139620127762",10.5476387245831,Caulnes,22
22032,Caulnes,22,2024,carte loyer,032,22032,"48.30216325406062, -2.1604139620127762",8.40570594233669,Caulnes,22
22033,Caurel,22,2024,carte loyer,033,22033,"48.21724561201957, -3.039756388323664",9.33944698640629,Caurel,22
22033,Caurel,22,2024,carte loyer,033,22033,"48.21724561201957, -3.039756388323664",7.94901853142507,Caurel,22
22034,Cavan,22,2024,carte loyer,034,22034,"48.68215456074493, -3.3524096713925564",10.0094169143978,Cavan,22
22034,Cavan,22,2024,carte loyer,034,22034,"48.68215456074493, -3.3524096713925564",8.23843488210609,Cavan,22
22035,Les Champs-Géraux,22,2024,carte loyer,035,22035,"48.42601578193849, -1.9776790432863975",10.9427490184733,Les Champs-Géraux,22
22035,Les Champs-Géraux,22,2024,carte loyer,035,22035,"48.42601578193849, -1.9776790432863975",9.03560484765086,Les Champs-Géraux,22
22036,La Chapelle-Blanche,22,2024,carte loyer,036,22036,"48.26830592024628, -2.1284395259517597",8.88734466002155,La Chapelle-Blanche,22
22036,La Chapelle-Blanche,22,2024,carte loyer,036,22036,"48.26830592024628, -2.1284395259517597",9.34200924669582,La Chapelle-Blanche,22
22037,La Chapelle-Neuve,22,2024,carte loyer,037,22037,"48.46571474215161, -3.4399666603374586",7.32611707484028,La Chapelle-Neuve,22
