CODGEO,LIBGEO,Code département,annee,type,taux_brut_de_natalit___pour_mille_
22187,Plérin,22,2022,Taux brut de natalité (pour mille),8.2
22188,Plerneuf,22,2022,Taux brut de natalité (pour mille),8.2
22189,Plésidy,22,2022,Taux brut de natalité (pour mille),8.2
22190,Pleslin-Trigavou,22,2022,Taux brut de natalité (pour mille),8.2
22193,Plestan,22,2022,Taux brut de natalité (pour mille),8.2
22194,Plestin-les-Grèves,22,2022,Taux brut de natalité (pour mille),8.2
22195,Pleubian,22,2022,Taux brut de natalité (pour mille),8.2
22196,Pleudaniel,22,2022,Taux brut de natalité (pour mille),8.2
22197,Pleudihen-sur-Rance,22,2022,Taux brut de natalité (pour mille),8.2
22198,Pleumeur-Bodou,22,2022,Taux brut de natalité (pour mille),8.2
22199,Pleumeur-Gautier,22,2022,Taux brut de natalité (pour mille),8.2
22200,Pléven,22,2022,Taux brut de natalité (pour mille),8.2
22201,Plévenon,22,2022,Taux brut de natalité (pour mille),8.2
22202,Plévin,22,2022,Taux brut de natalité (pour mille),8.2
22203,Plœuc-L'Hermitage,22,2022,Taux brut de natalité (pour mille),8.2
22204,Ploëzal,22,2022,Taux brut de natalité (pour mille),8.2
22205,Plorec-sur-Arguenon,22,2022,Taux brut de natalité (pour mille),8.2
22206,Châtelaudren-Plouagat,22,2022,Taux brut de natalité (pour mille),8.2
22207,Plouaret,22,2022,Taux brut de natalité (pour mille),8.2
22208,Plouasne,22,2022,Taux brut de natalité (pour mille),8.2
22209,Beaussais-sur-Mer,22,2022,Taux brut de natalité (pour mille),8.2
22210,Ploubazlanec,22,2022,Taux brut de natalité (pour mille),8.2
22211,Ploubezre,22,2022,Taux brut de natalité (pour mille),8.2
22212,Plouëc-du-Trieux,22,2022,Taux brut de natalité (pour mille),8.2
22213,Plouër-sur-Rance,22,2022,Taux brut de natalité (pour mille),8.2
22214,Plouézec,22,2022,Taux brut de natalité (pour mille),8.2
22215,Ploufragan,22,2022,Taux brut de natalité (pour mille),8.2
22216,Plougonver,22,2022,Taux brut de natalité (pour mille),8.2
22217,Plougras,22,2022,Taux brut de natalité (pour mille),8.2
22218,Plougrescant,22,2022,Taux brut de natalité (pour mille),8.2
22219,Plouguenast-Langast,22,2022,Taux brut de natalité (pour mille),8.2
22220,Plouguernével,22,2022,Taux brut de natalité (pour mille),8.2
22221,Plouguiel,22,2022,Taux brut de natalité (pour mille),8.2
22222,Plouha,22,2022,Taux brut de natalité (pour mille),8.2
22223,Plouisy,22,2022,Taux brut de natalité (pour mille),8.2
